"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa05142","Chagas disease",91,0.573251433475592,1.95031401997944,5.08098102237966e-06,5.76371577087627e-05,3.99241050069772e-05,1438,"tags=26%, list=9%, signal=24%","IL1B/CCL5/CXCL8/IL12B/PLCB4/CCL3L1/IL6/CCL3/NFKBIA/CCL2/GNA14/TLR2/NFKB1/TNF/C1QB/CFLAR/CD247/FAS/C1QA/AKT3/RELA/C1QC/MAPK11/IFNGR2"
"hsa05160","Hepatitis C",122,0.538833935440428,1.91747126940156,5.13434450853921e-06,5.76371577087627e-05,3.99241050069772e-05,2646,"tags=33%, list=17%, signal=27%","RSAD2/IFIT1/SOCS3/MX1/CXCL10/IRF7/OAS2/MX2/OAS3/RIGI/OAS1/NFKBIA/TLR3/STAT1/NFKB1/TNF/EIF2AK2/STAT2/CFLAR/IRF9/FAS/AKT3/RELA/TBK1/STAT3/TRADD/IFNAR2/IFNAR1/JAK1/TRAF2/IKBKE/EGF/CASP3/RIPK1/CLDN23/CLDN7/CLDN11/BID/CASP8/TNFRSF1A"
"hsa04659","Th17 cell differentiation",92,0.557219004184451,1.89872581294943,1.78480509612278e-05,0.000194097554203352,0.000134447489148722,2100,"tags=33%, list=13%, signal=28%","IL2RA/IL1B/EBI3/JAK3/IRF4/IL27/IL23A/IL6/NFKBIA/HLA-DOB/STAT1/NFKB1/IL12RB1/CD247/HIF1A/AHR/PPP3CC/IL2RB/RELA/NFKBIE/MAPK11/IFNGR2/IL6ST/STAT3/JAK2/PRKCQ/ZAP70/LCK/JAK1/IL4R"
"hsa04914","Progesterone-mediated oocyte maturation",94,-0.488574179835389,-1.90689230335312,2.2138335695177e-05,0.000233458812785503,0.000161712244790926,1657,"tags=23%, list=11%, signal=21%","BUB1/ANAPC1/MAD2L1/ANAPC15/CDC25C/MAPK13/CCNB2/ANAPC7/CCNA2/CDK1/CCNB1/PLK1/CDC25A/PDE3B/ADCY3/IGF1/RPS6KA2/PKMYT1/PRKACB/CPEB1/ADCY8/ADCY1"
"hsa05143","African trypanosomiasis",24,0.762489895382339,2.01135658191551,3.58076432294619e-05,0.000366501760113316,0.000253868430326526,1017,"tags=46%, list=7%, signal=43%","IL1B/IDO1/IL12B/IDO2/PLCB4/IL6/APOL1/ICAM1/IL18/TNF/FAS"
"hsa04960","Aldosterone-regulated sodium reabsorption",28,-0.69184930483082,-2.1043213667802,3.90782176982581e-05,0.000388549135971252,0.000269140206102289,2707,"tags=46%, list=17%, signal=38%","NHERF2/NR3C2/PIK3R2/ATP1A1/HSD11B2/PRKCB/IRS1/PRKCA/IGF1/ATP1B4/ATP1B1/SGK1/KCNJ1"
"hsa05144","Malaria",35,0.690772984170609,1.97698237769946,5.65385382739414e-05,0.000546539203314767,0.000378576762126684,1348,"tags=43%, list=9%, signal=39%","IL1B/CXCL8/THBS1/CR1L/MET/IL6/CSF3/CCL2/TLR2/CD40/ICAM1/IL18/TNF/THBS2/GYPC"
"hsa04658","Th1 and Th2 cell differentiation",78,0.561848621052144,1.85990979495771,6.60260349837965e-05,0.000621001626334086,0.000430155391501832,2101,"tags=33%, list=14%, signal=29%","IL2RA/IL12B/STAT4/JAK3/DLL4/DLL1/NFKBIA/HLA-DOB/STAT1/NFKB1/IL12RB1/CD247/PPP3CC/IL2RB/RELA/NFKBIE/MAPK11/IFNGR2/JAK2/PRKCQ/ZAP70/JAG2/LCK/JAK1/IL4R/JAG1"
"hsa04114","Oocyte meiosis",115,-0.432067074161466,-1.72815505804692,0.000125926278472681,0.00115321960285508,0.000798812126599556,1657,"tags=22%, list=11%, signal=20%","CAMK2D/BUB1/PPP2R5A/ANAPC1/MAD2L1/ANAPC15/CDC25C/MAPK13/CCNB2/ANAPC7/CALM2/CDK1/CCNB1/CCNE2/PLK1/ADCY3/CDC20/IGF1/RPS6KA2/PKMYT1/PRKACB/CPEB1/ADCY8/ADCY1/CAMK2B"
"hsa04380","Osteoclast differentiation",124,0.487566697950458,1.73436716847219,0.000147053747540617,0.00131217190113166,0.000908915200723383,2102,"tags=29%, list=14%, signal=25%","IL1B/SOCS3/NCF1/IL1A/LILRB1/NFKBIA/LILRB2/SOCS1/LILRA1/LILRA5/NFKB2/STAT1/RELB/FOSL2/NFKB1/TNF/STAT2/IRF9/AKT3/FCGR2B/PPP3CC/RELA/ITPR3/FCGR2A/MAPK11/CYLD/IFNGR2/LILRB4/GAB2/FCGR3B/IFNAR2/IFNAR1/FCGR3A/LCK/JAK1/TRAF2"
"hsa05150","Staphylococcus aureus infection",47,0.621911966513341,1.88814096927954,0.000155070940919722,0.00134911718600158,0.000934506459753059,2441,"tags=51%, list=16%, signal=43%","CFB/FPR2/FPR1/FCAR/HLA-DOB/C1S/ICAM1/PTAFR/C1QB/C4B/C1R/C1QA/FCGR2B/C1QC/FCGR2A/C3AR1/C2/CFH/FPR3/C3/FCGR3B/FCGR3A/C4A/C5"
"hsa04976","Bile secretion",40,-0.586166542985583,-1.94772470600445,0.000184074767452494,0.00156239070910897,0.0010822367585782,3376,"tags=57%, list=22%, signal=45%","GNAS/EPHX1/PRKACA/ADCY9/RXRA/SLC27A5/SLC9A3/ABCC4/ATP1A1/SLC51A/SCARB1/HMGCR/NCEH1/ABCB4/ADCY3/ATP1B4/ABCB1/ATP1B1/PRKACB/ADCY8/CA2/ABCG2/ADCY1"
"hsa05140","Leishmaniasis",68,0.551318549499121,1.78463778270292,0.000207959781149408,0.00172309532952366,0.00119355363115825,2092,"tags=32%, list=13%, signal=28%","IL1B/IL12B/PTGS2/NCF1/IL1A/CR1L/MARCKSL1/NFKBIA/HLA-DOB/TLR2/STAT1/NFKB1/TNF/RELA/FCGR2A/MAPK11/IFNGR2/JAK2/C3/FCGR3B/FCGR3A/JAK1"
"hsa05165","Human papillomavirus infection",267,0.405807876678568,1.55984979130403,0.000264317474944141,0.00213912747164096,0.00148173076529274,2200,"tags=22%, list=14%, signal=20%","OASL/ITGB8/HEY1/MX1/ISG15/THBS1/PTGS2/LAMB1/WNT5A/VTN/MX2/VEGFA/HES4/ITGA1/IRF1/ITGA10/WNT6/HES1/TLR3/LAMA3/HLA-F/STAT1/PDGFRB/NFKB1/FZD2/TNF/WNT5B/EIF2AK2/LAMB3/STAT2/LAMC2/IRF9/FAS/PTGER4/THBS2/AKT3/HLA-A/HLA-G/NOTCH4/RELA/CDKN1B/TCF7L1/TBK1/ITGAV/PPP2R5B/HLA-E/HLA-C/TRADD/HLA-B/FZD9/IFNAR2/IFNAR1/JAK1/JAG1/COL1A1/TCF7/PARD3/IKBKE/EGF/CASP3"
"hsa04151","PI3K-Akt signaling pathway",256,0.399345634479497,1.53375762335748,0.000452264202983168,0.00357699869632142,0.00247771537041018,1447,"tags=18%, list=9%, signal=17%","IL2RA/IL7R/JAK3/ITGB8/EREG/THBS1/LAMB1/VTN/MET/EFNA5/IL7/VEGFA/TGFA/IL3RA/NGFR/ITGA1/IL6/OSM/DDIT4/CSF3/BCL2L11/ITGA10/LPAR3/TLR2/PRL/LAMA3/MCL1/PDGFRB/PRLR/NFKB1/PKN3/FLT3/LAMB3/LAMC2/PDGFB/THBS2/AKT3/CD19/IL2RB/RELA/FLT4/CDKN1B/OSMR/ITGAV/FOXO3/PPP2R5B"
"hsa01200","Carbon metabolism",95,-0.451144475043807,-1.76757773818335,0.000567384966847838,0.00438777707695661,0.003039325319489,4053,"tags=44%, list=26%, signal=33%","GPI/SUCLG2/DLAT/PRPS1/ACAT1/CS/PDHB/ACSS2/IDH2/SUCLG1/SUCLA2/SDS/PCCB/ECHS1/MDH2/MCEE/SHMT2/SDHC/SDHB/PDHA1/HIBCH/GPT2/GOT2/ME1/GLUD2/PCCA/PGP/ACO2/GOT1/ACSS1/HK3/CAT/MDH1/FH/ENO4/IDH3A/PSPH/ACAT2/SHMT1/GCSH/FBP1/ME3"
"hsa05332","Graft-versus-host disease",28,0.671614899427473,1.84079746959871,0.000674797738799168,0.00492827780904068,0.00341371935350972,1697,"tags=50%, list=11%, signal=45%","IL1B/CD80/IL1A/IL6/HLA-DOB/HLA-F/TNF/FAS/HLA-A/HLA-G/CD86/HLA-E/HLA-C/HLA-B"
