"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006959","humoral immune response","70/1789","151/12599",0.463576158940397,3.26472667774738,11.3893150128459,1.32021189422254e-21,6.30101131333483e-19,4.66432757269819e-19,"EBI3/CXCL13/TRAF3IP2/CLU/CCR7/ADM/CR1L/CD55/GPR183/FCGR2B/CXCL1/CXCL2/CXCL3/CFH/HLA-A/HLA-E/IGHM/IL1B/IL6/IL7/CXCL8/CXCL10/CXCL9/MMP7/C1RL/CFP/PI3/TREM1/PPBP/B2M/PSMB10/BCL3/S100A9/S100A12/CFB/CCL1/CCL2/CCL3/CCL3L1/CCL4/CCL5/CCL7/CCL8/CCL15/CCL17/CCL18/CCL19/CCL20/CCL23/CCL24/CXCL6/CXCL11/CXCL5/CXCL12/SERPING1/C1QA/TNF/C1QB/C1QC/C1R/C1S/C2/C3/C4B/ACOD1/ZP3/H2BC8/H2BC21/PLA2G6/MS4A1",70
"GO:0002443","leukocyte mediated immunity","111/1789","327/12599",0.339449541284404,2.39056722786037,10.3645706987273,5.57488598450993e-20,2.4390126182231e-17,1.80548061884304e-17,"MICA/RASGRP1/CD96/BTN3A3/BATF/CD226/TRAF3IP2/LILRB1/ARID5A/LILRB4/RIPK3/BTN3A2/TREX1/SCN11A/NLRP3/CLU/RNF19B/CR1L/CSF2RB/CD55/AGER/JAG1/AHR/FCAR/FCER1G/FCGR2A/FCGR2B/FCGR3A/FCGR3B/RFTN1/CLCF1/RIGI/IL4I1/STAP1/MILR1/CD274/ANXA3/HFE/HLA-A/HLA-B/HLA-C/HLA-E/HLA-F/HLA-G/HLA-H/ICAM1/IL1B/IL2RB/IL4R/IL6/IL7R/IL12B/IL12RB1/IL18/IRF7/JAK3/KIR2DL4/LAG3/LYN/CALHM6/NBN/NKG7/IRAK4/C1RL/TLR8/IL23A/SERPINB9/IL20RB/TREM1/TRPM4/B2M/DUSP22/PTGDR/SLAMF7/PVR/NECTIN2/BCL3/SCART1/CEACAM1/CCL3/CXCL6/SECTM1/MYO1G/NOD2/NFKBIZ/SLAMF1/NCF1/BST2/TAP2/TLR3/C1QA/TNF/C1QB/C1QC/C1R/C1S/C2/C3/TRAF2/C4B/ZP3/UNC93B1/NDST2/RSAD2/CD7/CD19/CD80/NCR1/CD40/CD70/GAB2",111
"GO:0042110","T cell activation","145/1789","489/12599",0.296523517382413,2.08826148434937,9.98524539000828,1.81618573443738e-19,7.33459623522787e-17,5.42943945873911e-17,"ADA/MICA/RASGRP1/EBI3/LILRB2/BTN2A2/BATF/TNFSF13B/TRAF3IP2/LILRB1/LILRB4/RIPK3/BTN3A1/TREX1/NLRP3/CGAS/CCR7/MAP3K8/ADORA2A/CTSL/CYLD/CD55/AGER/DPP4/GPR183/FCER1G/FCGR2B/IKZF3/FKBP1B/FOXO3/FOSL2/PATZ1/IL27/IL4I1/LRRC32/CLEC4E/TBK1/CD274/ANXA1/HFE/CD209/HLA-A/HLA-DOB/HLA-E/HLA-G/HLX/HES1/ICAM1/CLEC4D/IL1A/IL1B/IL2RA/IL4R/IL6/IL6ST/IL7/IL7R/IL12B/IL12RB1/IL15/TNFRSF9/IL18/IDO1/IRF1/IRF4/JAG2/JAK1/JAK2/JAK3/JUNB/ARG2/LAG3/RHOH/LYN/MDK/MICB/ASCL2/NKG7/IL23A/IL20RB/DLL4/AMBRA1/LMBR1L/B2M/DUSP22/PSMB10/PELI1/PTGER4/PREX1/PTPN2/SLAMF7/RELB/BCL3/CEACAM1/CCL2/CCL5/CCL19/BID/PRDM1/VSIR/NOD2/SEMA4A/NFKBIZ/AZI2/RASAL3/SLAMF1/SRC/STAT3/STAT4/TCF7/TRGC1/TRAF2/TNFRSF4/YES1/ZAP70/ZP3/TREML2/ZC3H12A/PDCD1LG2/FZD7/CASP3/CASP8/HSH2D/CAV1/RUNX2/RUNX1/RUNX3/SOCS1/TNFSF9/RIPK2/RAB29/SOCS3/RSAD2/CD247/CD5/DLG5/CD7/CD80/CD86/CD44/CD47/CD69/CD70/RIPOR2/TESPA1",145
"GO:0001906","cell killing","73/1789","174/12599",0.419540229885057,2.95460444735709,10.5615688216712,2.28584834016676e-19,8.57193127562536e-17,6.34537749766593e-17,"MICA/RASGRP1/CXCL13/CD226/LILRB1/RIPK3/GBP5/CLU/RNF19B/CR1L/CD55/AGER/FCGR2A/FCGR2B/FCGR3A/FCGR3B/STAP1/GBP1/GBP2/GBP3/CXCL1/CXCL2/CXCL3/CFH/HLA-A/HLA-B/HLA-C/HLA-E/HLA-F/HLA-G/HLA-H/ICAM1/IL7R/CXCL8/IL12B/IL12RB1/IL18/CXCL10/KIR2DL4/GBP7/LAG3/MICB/CXCL9/NINJ1/NKG7/IL23A/SERPINB9/TREM1/PPBP/B2M/SLAMF7/PVR/NECTIN2/S100A12/CFB/CEACAM1/CCL1/CCL8/CCL17/CCL18/CCL19/CCL20/CXCL6/CXCL11/CXCL12/NCF1/TAP2/C1R/C1S/C2/C3/APOL1/NCR1",73
"GO:0045088","regulation of innate immune response","135/1789","443/12599",0.304740406320542,2.14612877542342,9.99040418690731,2.56347324739007e-19,8.97215636586524e-17,6.6416443714836e-17,"CD300H/MICA/RASGRP1/CD96/ADAR/TNIP1/NOD1/HEXIM1/CD226/LILRB1/TRAFD1/SMPDL3A/IRAK3/USP18/TREX1/NLRP3/CGAS/GBP5/TRIM6/CYLD/EREG/FCGR2B/SARM1/RFTN1/FPR2/RIGI/RICTOR/SIN3A/CLEC4E/GBP2/TREML4/FFAR2/TBK1/CD274/HCK/CFH/HLA-A/HLA-B/HLA-C/HLA-E/HLA-F/HLA-G/BIRC3/HSPA1A/HSPA1B/STING1/CD300E/IFI16/IFI35/TICAM2/IL12B/IRAK2/IRF1/IRF4/IRF7/KIR2DL4/LAG3/LBP/LRCH4/LYN/MEFV/MMP12/CALHM6/NFE2L2/NFKBIA/NINJ1/OAS1/OAS3/ZDHHC9/IRAK4/TLR8/CFP/SERPINB9/PLSCR1/PARP14/TRIM62/DDX60/PRKCE/MAPK11/EIF2AK2/PELI1/ZNFX1/AARS2/PTPN1/PTPN2/PVR/NECTIN2/RAB13/RELA/S100A8/S100A9/CEACAM1/CCL5/NOD2/IFIH1/NFKBIZ/NCF1/SRC/TRIM21/STAT2/TLR2/TLR3/SERPING1/TNF/TNFAIP3/ACOD1/WNT5A/TRIM25/DHX58/GSDMD/CCDC134/TNIP3/TASL/ZBP1/UNC93B1/TRIM56/CASP1/PARP9/CASP4/CASP8/NLRC5/TRIM5/CAV1/OASL/RIPK2/NMI/RSAD2/CD14/CLEC6A/NCR1/AIM2/ISG15/IKBKE/N4BP1/TRIL",135
"GO:0002449","lymphocyte mediated immunity","92/1789","251/12599",0.366533864541833,2.58130808237146,10.2943319025076,2.91039849835952e-19,9.54974507274216e-17,7.06920477364693e-17,"MICA/RASGRP1/CD96/BTN3A3/BATF/CD226/TRAF3IP2/LILRB1/ARID5A/LILRB4/RIPK3/BTN3A2/TREX1/NLRP3/CLU/RNF19B/CR1L/CSF2RB/CD55/AGER/JAG1/AHR/FCER1G/FCGR2A/FCGR2B/FCGR3A/FCGR3B/RFTN1/CLCF1/IL4I1/CD274/HFE/HLA-A/HLA-B/HLA-C/HLA-E/HLA-F/HLA-G/HLA-H/ICAM1/IL1B/IL2RB/IL4R/IL6/IL7R/IL12B/IL12RB1/IL18/IRF7/KIR2DL4/LAG3/CALHM6/NBN/NKG7/C1RL/TLR8/IL23A/SERPINB9/IL20RB/TRPM4/B2M/DUSP22/SLAMF7/PVR/NECTIN2/BCL3/SCART1/CEACAM1/SECTM1/MYO1G/NFKBIZ/SLAMF1/TAP2/C1QA/TNF/C1QB/C1QC/C1R/C1S/C2/C3/TRAF2/C4B/ZP3/UNC93B1/RSAD2/CD7/CD19/CD80/NCR1/CD40/CD70",92
"GO:0002456","T cell mediated immunity","55/1789","114/12599",0.482456140350877,3.39768860384612,10.4615023447754,3.0240114697844e-18,9.33885895080475e-16,6.9130961897486e-16,"MICA/BTN3A3/LILRB1/ARID5A/LILRB4/RIPK3/BTN3A2/TREX1/NLRP3/CR1L/CD55/AGER/JAG1/AHR/FCGR2B/FCGR3A/RFTN1/IL4I1/CD274/HFE/HLA-A/HLA-B/HLA-C/HLA-E/HLA-F/HLA-G/HLA-H/ICAM1/IL1B/IL6/IL7R/IL12B/IL12RB1/IL18/IL23A/IL20RB/TRPM4/B2M/DUSP22/PVR/NECTIN2/SCART1/CEACAM1/SECTM1/MYO1G/NFKBIZ/SLAMF1/TAP2/TRAF2/ZP3/UNC93B1/RSAD2/CD7/CD80/CD70",55
"GO:0045071","negative regulation of viral genome replication","32/1789","45/12599",0.711111111111111,5.00798708154773,10.9568226751271,6.45613657477621e-18,1.88303983430973e-15,1.3939214171973e-15,"TNIP1/IFITM3/IFITM2/TRIM6/APOBEC3D/APOBEC3H/APOBEC3A/APOBEC3F/IFIT5/IFI16/IFIT1/ISG20/MX1/OAS1/OAS2/OAS3/PLSCR1/SHFL/EIF2AK2/PROX1/ZNFX1/APOBEC3G/CCL5/IFIH1/BST2/TNF/IFITM1/OASL/RSAD2/APOBEC3B/ISG15/N4BP1",32
"GO:0002237","response to molecule of bacterial origin","97/1789","284/12599",0.341549295774648,2.40535471071257,9.74475761012658,8.31803319083559e-18,2.29840390799404e-15,1.70139493299529e-15,"CD96/LILRB2/TNIP1/CXCL13/LILRB1/ARID5A/IRAK3/NLRP3/CARD16/GBP5/TRIM6/CCR7/CMPK2/CSF2RB/CSF3/CYP27B1/CD55/ABCA1/EDN1/AHR/EPHB2/FCAR/FCGR2B/SBNO2/FOSL2/STAP1/GBP2/GBP3/GCH1/ANKRD1/CD274/CXCL2/HCK/IFNAR1/TICAM2/IL1A/IL1B/IL6/CXCL8/IL10RA/IL12B/IL18/IDO1/CXCL10/IRAK2/JAK2/LBP/LYN/CXCL9/CD200/ASS1/NFKB1/NFKB2/NFKBIA/NFKBIB/IRAK4/PDE4B/CHMP5/PPBP/PRKCE/B2M/PELI1/PTAFR/PTGER2/PTGIR/RELA/S100A8/CCL2/CXCL6/CXCL5/NOD2/NFKBIZ/BLVRA/BMP6/SLC22A4/TAP2/TLR2/TNF/TNFAIP3/C2/C4B/ACOD1/WNT5A/TNIP3/ZC3H12A/PDCD1LG2/SLC7A5/CASP1/CASP3/CASP7/CASP8/TRIM5/RIPK2/CD14/CD80/CD86/CD40",97
"GO:0048525","negative regulation of viral process","40/1789","68/12599",0.588235294117647,4.14263637260382,10.5705807783375,1.41465953567151e-17,3.71348128113772e-15,2.74890684510486e-15,"TNIP1/IFITM3/IFITM2/HEXIM1/TRIM6/APOBEC3D/APOBEC3H/APOBEC3A/APOBEC3F/IFIT5/IFI16/IFIT1/ISG20/MX1/OAS1/OAS2/OAS3/PLSCR1/TRIM62/SHFL/EIF2AK2/PROX1/ZNFX1/APOBEC3G/CCL5/IFIH1/SP100/TRIM21/STAT1/BST2/TNF/UBP1/IFITM1/OASL/CH25H/RSAD2/IL32/APOBEC3B/ISG15/N4BP1",40
