"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","32/988","66/6222",0.484848484848485,3.05336768494663,7.28586464889303,4.91800626705683e-10,1.3818976078973e-08,1.10516862588278e-08,"ADAR/RIPK3/TREX1/NLRP3/CGAS/MLKL/RIGI/TBK1/STING1/IFI16/IL1B/IL6/IL18/CXCL10/IRF7/MEFV/NFKB1/NFKBIA/NFKBIB/RELA/CCL4/CCL5/GSDMD/ZBP1/CASP1/CASP3/CASP7/CASP8/RIPK1/AIM2/CCL4L2/IKBKE",32
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","40/988","94/6222",0.425531914893617,2.67981738306486,7.1294878529205,4.9798111996299e-10,1.3818976078973e-08,1.10516862588278e-08,"TNFSF13B/EDARADD/CYLD/GADD45A/RIGI/CXCL1/CXCL2/CXCL3/BIRC3/ICAM1/TICAM2/IL1B/CXCL8/LBP/LYN/GADD45B/NFKB1/NFKB2/NFKBIA/IRAK4/PTGS2/RELA/RELB/CCL4/CCL19/CXCL12/TNF/TNFAIP3/TNFRSF1A/TRAF1/TRAF2/TRAF5/ZAP70/TRIM25/TRADD/RIPK1/CFLAR/CD14/CCL4L2/CD40",40
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","28/988","55/6222",0.509090909090909,3.20603606919396,7.13918594039004,1.4645134154887e-09,3.75140744121337e-08,3.00017728031289e-08,"TANK/ADAR/CYLD/RIGI/TBK1/STING1/CXCL8/IL12B/CXCL10/IRF7/NFKB1/NFKBIA/NFKBIB/MAPK11/ZNFX1/RELA/IFIH1/AZI2/TNF/TRAF2/TRIM25/DHX58/CASP8/CASP10/TRADD/RIPK1/ISG15/IKBKE",28
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","60/988","178/6222",0.337078651685393,2.12277669107947,6.60287195241026,2.06883251139239e-09,4.9208659020976e-08,3.93544831114491e-08,"AKT3/TANK/NLRP3/CYP2J2/AGER/ABCA1/ERN1/TBK1/CXCL1/CXCL2/CXCL3/ERO1A/HSPA1A/HSPA1B/HSPA2/HSPA6/ICAM1/TICAM2/FAS/IL1B/IL6/CXCL8/IL12B/IL18/IRF7/JAK2/LBP/LYN/NFE2L2/NFKB1/NFKBIA/OLR1/IRAK4/PLCB4/PPP3CC/MAPK11/RAP1B/RELA/CCL2/CCL3/CCL3L1/CCL5/BID/NCF1/SRC/STAT3/TLR2/TNF/TNFRSF1A/TRAF2/VAV2/CASP1/CASP3/CASP7/CASP8/TNFSF10/CD14/CD40/ABCG1/IKBKE",60
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","57/988","167/6222",0.341317365269461,2.14947029018885,6.54170004123737,3.12877800281768e-09,6.94588716625526e-08,5.55495322605526e-08,"AKT3/MICA/IRF9/RCAN1/PIK3R5/TBK1/CXCL1/CXCL2/CXCL3/HCK/HIF1A/HLA-A/HLA-B/HLA-C/HLA-E/HLA-F/HLA-G/ICAM1/IFNAR1/IFNAR2/FAS/IL6/IL6ST/CXCL8/IRF7/ITPR3/JAK1/JAK2/LYN/MICB/NFKB1/NFKBIA/PDGFB/PPP3CC/MAPK11/EIF2AK2/PTGS2/PREX1/RELA/BID/SRC/STAT1/STAT2/STAT3/TCF7/TLR3/TNFRSF1A/C3/TRAF2/VEGFA/TCF7L1/CASP3/CASP8/MAP1LC3A/TRADD/CD86/IKBKE",57
"Human Diseases","Cancer: overview","hsa05200","Pathways in cancer","110/988","416/6222",0.264423076923077,1.6652230613516,6.10192913888391,7.60376978949349e-09,1.58253458743833e-07,1.26562747154069e-07,"AKT3/BCL2L11/RASGRP1/CDKN1B/PIM2/EGLN3/CSF2RA/CSF2RB/DAPK1/GADD45A/JAG1/AGTR1/DVL3/LPAR1/EDN1/ADCY4/ETS1/FLT3/FLT3LG/FLT4/HEY1/LPAR3/FZD2/GNA12/DLL1/GSTM3/HIF1A/HES1/BIRC3/IFNAR1/IFNAR2/IFNGR2/FAS/IL2RA/IL2RB/IL3RA/IL4R/IL6/IL6ST/IL7/IL7R/CXCL8/IL12B/IL12RB1/IL13RA1/IL15/IL15RA/ITGAV/JAG2/JAK1/JAK2/JAK3/JUP/LAMA3/LAMB1/LAMB3/LRP6/MDM2/MET/GADD45B/NFE2L2/NFKB1/NFKB2/NFKBIA/NKX3-1/NOTCH4/PDGFB/IL23A/PDGFRB/PLCB4/PLD1/PLD2/PMAIP1/PML/DLL4/PTGER2/PTGER4/PTGS2/RELA/BID/CXCL12/BMP2/SLC2A1/SMO/BRCA2/STAT1/STAT2/STAT3/STAT4/STK4/TCF7/TGFA/TRAF1/TRAF2/TRAF5/VEGFA/WNT5A/ZBTB17/NCOA4/WNT5B/FZD7/TCF7L1/CASP3/CASP7/CASP8/CUL1/RUNX1/RPS6KA5/ARHGEF11/ARNT2",110
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","32/988","74/6222",0.432432432432432,2.72327388116862,6.47880561538257,1.71894988803451e-08,3.35190978814737e-07,2.68068018460972e-07,"TRAF3IP2/CSF3/IL17C/TBK1/CXCL1/CXCL2/CXCL3/IL1B/IL6/CXCL8/CXCL10/NFKB1/NFKBIA/MAPK11/PTGS2/RELA/S100A8/S100A9/CCL2/CCL7/CCL17/CCL20/CXCL6/CXCL5/TNF/TNFAIP3/TRAF2/TRAF5/CASP3/CASP8/TRADD/IKBKE",32
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","30/988","67/6222",0.447761194029851,2.81980784337422,6.50639789877957,1.81184312872831e-08,3.35190978814737e-07,2.68068018460972e-07,"NOD1/NLRP3/TICAM2/IL1A/IL1B/IL6/CXCL8/IL12B/IRF1/NFKB1/IRAK4/IL23A/MAPK11/RELA/CXCL6/CXCL5/SERPING1/C1QA/TNF/C1QB/C1QC/C1R/C1S/C2/C3/C4B/CASP1/CASP3/CASP7/CD14",30
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","26/988","54/6222",0.481481481481481,3.03216374269006,6.51591049038366,2.55701429068867e-08,4.48150399368067e-07,3.58406989221182e-07,"CR1L/CXCL1/CXCL2/CXCL3/HSPA1A/HSPA1B/HSPA6/IL1B/IL6/CXCL8/IL12B/IL18/NFKB1/NFKB2/NFKBIA/RELA/BNIP3/TLR2/TNF/C3/CASP1/CASP3/CASP7/CASP8/CD14/SEC22B",26
"Cellular Processes","Cell growth and death","hsa04217","Necroptosis","45/988","130/6222",0.346153846153846,2.17992837122392,5.9066207459397,9.17418143119573e-08,1.52750120829409e-06,1.22161468531185e-06,"PLA2G4B/IRF9/RBCK1/RIPK3/NLRP3/CYLD/MLKL/FTH1/GLUL/BIRC3/IFNAR1/IFNAR2/IFNGR2/TICAM2/FAS/IL1A/IL1B/JAK1/JAK2/JAK3/CHMP5/RNF31/H2AJ/EIF2AK2/PYGM/BID/STAT1/STAT2/STAT3/STAT4/TLR3/TNF/TNFAIP3/TNFRSF1A/TRAF2/TRAF5/ZBP1/CASP1/CASP8/PLA2G4C/JMJD7-PLA2G4B/TRADD/RIPK1/TNFSF10/CFLAR",45
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","52/988","162/6222",0.320987654320988,2.02144249512671,5.72304065286949,1.55349529802868e-07,2.46339968687405e-06,1.97009679399126e-06,"AKT3/CXCL13/CCR7/ADCY4/FOXO3/PIK3R5/CXCL1/CXCL2/CXCL3/HCK/CXCL8/CXCL10/JAK2/JAK3/LYN/CXCL9/NFKB1/NFKBIA/NFKBIB/PLCB4/PPBP/PREX1/CXCL16/RAP1B/RELA/CCL1/CCL2/CCL3/CCL3L1/CCL4/CCL5/CCL7/CCL8/CCL15/CCL17/CCL18/CCL19/CCL20/CCL23/CCL24/CXCL6/CXCL11/CXCL5/CXCL12/CXCR5/NCF1/SRC/STAT1/STAT2/STAT3/VAV2/CCL4L2",52
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","22/988","47/6222",0.468085106382979,2.94779912137135,5.82326196109099,5.70310104203053e-07,8.63242112270985e-06,6.90375389298433e-06,"FCAR/FCGR2A/FCGR2B/FCGR3A/FCGR3B/FPR1/FPR2/FPR3/CFH/HLA-DOB/ICAM1/PTAFR/CFB/C1QA/C1QB/C1QC/C1R/C1S/C2/C3/C3AR1/C4B",22
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","43/988","131/6222",0.32824427480916,2.067141576784,5.36296672835066,9.46397859619975e-07,1.37021950979762e-05,1.0958291006126e-05,"CALCRL/OGFR/CHRNA7/CHRNB1/CHRNB2/GRIN3A/ADM/ADORA2A/ADRB1/DRD4/AGTR1/S1PR1/LPAR1/EDN1/LPAR3/FPR1/FPR2/FPR3/GABBR1/P2RY10/GRIK1/GRIN2D/NR3C1/HTR2B/RXFP4/INSL3/MC1R/P2RY6/CHRNA10/CYSLTR2/PTAFR/PTGDR/PTGER2/PTGER4/PTGIR/RXFP1/SSTR2/C3/C3AR1/VGF/ADM2/CHRNA6/CHRFAM7A",43
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","34/988","98/6222",0.346938775510204,2.18487151945799,5.13639507865599,3.25856079721311e-06,4.52125310613318e-05,3.61585913024086e-05,"AKT3/IRF9/NLRP3/CYLD/FCER1G/CLEC4E/CD209/CLEC4D/IL1B/IL6/IL12B/IRF1/ITPR3/MDM2/NFKB1/NFKB2/NFKBIA/IL23A/PPP3CC/MAPK11/PTGS2/RELA/RELB/BCL3/CCL17/SRC/STAT1/STAT2/TNF/CASP1/CASP8/KSR1/CLEC6A/IKBKE",34
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","56/988","196/6222",0.285714285714286,1.79930595720069,4.93990088879132,3.57753506414401e-06,4.76527670543982e-05,3.8110162999092e-05,"RPL17-C18orf32/ADAR/IRF9/NLRP3/CGAS/CSF3/HBEGF/AGTR1/FCGR2A/RIGI/TBK1/STING1/IFNAR1/IFNAR2/IL1B/IL6/IL6ST/CXCL8/IL12B/CXCL10/JAK1/MX1/MX2/NFKB1/NFKBIA/NFKBIB/OAS1/OAS2/OAS3/IRAK4/TLR8/MAPK11/EIF2AK2/RELA/CFB/CCL2/IFIH1/STAT1/STAT2/STAT3/TLR2/TLR3/C1QA/TNF/C1QB/TNFRSF1A/C1QC/C1R/C1S/C2/C3/C3AR1/C4B/CASP1/ISG15/IKBKE",56
"Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","37/988","112/6222",0.330357142857143,2.0804475130133,5.01283943659289,4.57531146135133e-06,5.85991814088459e-05,4.68645263045298e-05,"AKT3/CPT1B/CYP2E1/ALDH2/FOXO3/TBK1/CXCL1/CXCL2/CXCL3/FAS/IL1B/IL6/CXCL8/IL12B/LBP/NFKB1/NFKBIA/IRAK4/MAPK11/RELA/TCF7/C1QA/TNF/C1QB/TNFRSF1A/C1QC/C2/C3/C3AR1/C4B/TCF7L1/CASP3/CASP8/TRADD/RIPK1/CD14/IKBKE",37
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","46/988","152/6222",0.302631578947368,1.90584380992968,4.91215976105533,5.03963023070648e-06,6.21554395120466e-05,4.97086334646682e-05,"AKT3/CR1L/CYP27B1/FCER1G/FCGR2A/FCGR2B/FCGR3A/FCGR3B/CLEC4E/CD209/HLA-DOB/IFNGR2/IL1A/IL1B/IL6/IL10RA/IL12B/IL18/IRAK2/JAK1/JAK2/LBP/NFKB1/IRAK4/IL23A/PPP3CC/MAPK11/RELA/RFX5/BID/NOD2/SRC/STAT1/TLR2/TNF/TNFRSF1A/C3/VDR/CASP3/CASP8/CASP10/TRADD/RIPK2/KSR1/SPHK1/CD14",46
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","54/988","192/6222",0.28125,1.77119180161943,4.71569899507032,8.90188238495879e-06,0.000105868815506831,8.46682798268637e-05,"AKT3/CGAS/ADCY4/GNA12/TBK1/HLA-A/HLA-B/HLA-C/HLA-E/HLA-F/HLA-G/STING1/FAS/IL1B/IL6/CXCL8/IL10RA/ITGAV/ITPR3/JAK1/MDM2/NFKB1/NFKBIA/PLCB4/PPP3CC/MAPK11/B2M/PTGER2/PTGER4/PTGS2/RELA/CCL2/CCL3/CCL3L1/CCL4/CCL5/BID/CXCL12/SRC/STAT3/TAP1/TAP2/TAPBP/TNF/TNFRSF1A/TRAF2/TRAF5/VEGFA/CASP3/CASP8/TRADD/RIPK1/CCL4L2/ARHGEF11",54
