"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","24/988","68/6222",0.352941176470588,2.22267206477733,4.40430527877236,6.57050332506073e-05,0.000561019899293647,0.000448674046218722,"CR1L/FCGR2A/FCGR3A/FCGR3B/HLA-DOB/IFNGR2/IL1A/IL1B/IL12B/JAK1/JAK2/NFKB1/NFKBIA/NFKBIB/IRAK4/MAPK11/PTGS2/RELA/MARCKSL1/NCF1/STAT1/TLR2/TNF/C3",24
"Human Diseases","Immune disease","hsa05330","Allograft rejection","13/988","27/6222",0.481481481481481,3.03216374269006,4.5973930935654,8.53516590307869e-05,0.0007105525614313,0.000568262361441818,"HLA-A/HLA-B/HLA-C/HLA-DOB/HLA-E/HLA-F/HLA-G/FAS/IL12B/TNF/CD80/CD86/CD40",13
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","21/988","57/6222",0.368421052631579,2.32015768165353,4.34999149952535,9.15136952167134e-05,0.000743269768467453,0.000594427853397394,"CTSL/HLA-A/HLA-B/HLA-C/HLA-DOB/HLA-E/HLA-F/HLA-G/HSPA1A/HSPA1B/HSPA2/HSPA6/KIR2DL4/B2M/PSME1/PSME2/RFX5/TAP1/TAP2/TAPBP/TNF",21
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","29/988","91/6222",0.318681318681319,2.00691818303154,4.20378925100016,0.000101531347334975,0.000804998539584443,0.000643795260043825,"AKT3/GNA15/IFNGR2/FAS/IL1B/IL6/CXCL8/IL12B/NFKB1/NFKBIA/IRAK4/PLCB4/MAPK11/RELA/CCL2/CCL3/CCL3L1/CCL5/TLR2/C1QA/TNF/C1QB/TNFRSF1A/C1QC/C3/CASP8/CFLAR/CD247/GNA14",29
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","15/988","35/6222",0.428571428571429,2.69895893580104,4.37893561829354,0.000129715035940688,0.00100453737135463,0.000803375865189575,"CR1L/CSF3/GYPC/ICAM1/IL1B/IL6/CXCL8/IL18/MET/CCL2/THBS1/THBS2/TLR2/TNF/CD40",15
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","14/988","33/6222",0.424242424242424,2.6716967243283,4.18307772182017,0.000247435445334603,0.00187263643855507,0.00149763559018313,"HLA-A/HLA-B/HLA-C/HLA-DOB/HLA-E/HLA-F/HLA-G/FAS/IL1A/IL1B/IL12B/TNF/CD80/CD86",14
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","30/988","100/6222",0.3,1.88927125506073,3.89474748481479,0.000260364102899948,0.00192669436145962,0.00154086825809794,"AKT3/PIK3R5/HLA-DOB/BIRC3/HSPA1A/HSPA1B/HSPA6/IFNGR2/IL10RA/IL12B/JAK1/JAK2/LAMA3/LAMB1/LAMB3/NFKB1/NFKBIA/NFKBIB/IRAK4/MAPK11/RELA/STAT1/STAT3/TLR2/TNF/TNFRSF1A/CASP3/CASP8/SOCS1/CD40",30
"Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","18/988","49/6222",0.36734693877551,2.31339337354375,4.0099267204031,0.000299999240404648,0.00217173363162495,0.00173683770760586,"HLA-DOB/IFNGR2/IL1A/IL1B/IL4R/IL6/IL12B/IL12RB1/IL18/NFKB1/IL23A/RELA/NOD2/STAT1/STAT3/STAT4/TLR2/TNF",18
"Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","12/988","27/6222",0.444444444444444,2.79892037786775,4.06972329411578,0.000409179692415393,0.00289908165051757,0.00231853218770648,"HLA-A/HLA-B/HLA-C/HLA-DOB/HLA-E/HLA-F/HLA-G/FAS/TG/CD80/CD86/CD40",12
"Human Diseases","Substance dependence","hsa05033","Nicotine addiction","7/988","11/6222",0.636363636363636,4.00754508649246,4.33729976193811,0.000456394963691176,0.00316624006060753,0.00253219135556727,"CHRNA7/CHRNB2/GRIN3A/GRIN2D/CACNA1A/CHRNA6/CHRFAM7A",7
"Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","11/988","24/6222",0.458333333333333,2.88638663967611,4.0225574981595,0.000516777091549074,0.00351197492828248,0.00280869181873074,"IDO2/ICAM1/FAS/IL1B/IL6/IL12B/IL18/IDO1/PLCB4/TNF/APOL1",11
"Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","26/988","86/6222",0.302325581395349,1.90391676866585,3.66713338666075,0.000576314922845936,0.00383825738615393,0.00306963527326362,"MICA/FCER1G/FCGR3A/FCGR3B/HLA-A/HLA-B/HLA-C/HLA-E/HLA-G/ICAM1/IFNAR1/IFNAR2/IFNGR2/FAS/KIR2DL4/MICB/PPP3CC/BID/TNF/VAV2/ZAP70/CASP3/TNFSF10/CD247/NCR1/CD48",26
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","56/988","234/6222",0.239316239316239,1.50711097269802,3.43527694271988,0.000722682191161322,0.00471868960111216,0.00377375839760195,"AKT3/PLA2G4B/RASGRP1/MAP3K8/DAXX/GADD45A/DUSP1/DUSP4/DUSP5/DUSP8/EFNA5/EREG/FLT3/FLT3LG/FLT4/MAPK8IP2/GNA12/HSPA1A/HSPA1B/HSPA6/FAS/IL1A/IL1B/MET/GADD45B/NF1/NFKB1/NFKB2/NGFR/IRAK4/PDGFB/PDGFRB/PPP3CC/MAPK11/RAP1B/RELA/RELB/STK4/TGFA/TNF/TNFRSF1A/TRAF2/VEGFA/CACNA1A/CACNA1D/CACNB3/DUSP16/CASP3/PLA2G4C/JMJD7-PLA2G4B/TRADD/CACNA1I/MAP3K13/RPS6KA5/CD14/RAPGEF2",56
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","62/988","267/6222",0.232209737827715,1.46235727607697,3.35493536838647,0.000882706323438729,0.00565271549432878,0.00452074291153843,"AKT3/CDKN1B/IRF9/COL1A1/JAG1/DVL3/UBR4/HEY1/FZD2/TBK1/HLA-A/HLA-B/HLA-C/HLA-E/HLA-F/HLA-G/HES1/IFNAR1/IFNAR2/FAS/IRF1/ITGA1/ITGAV/ITGB8/JAK1/LAMA3/LAMB1/LAMB3/MDM2/MX1/MX2/NFKB1/NOTCH4/PDGFRB/PPP2R5B/EIF2AK2/PTGER4/PTGS2/HES4/RELA/STAT1/STAT2/TCF7/THBS1/THBS2/TLR3/TNF/TNFRSF1A/VEGFA/VTN/WNT5A/WNT5B/FZD7/TCF7L1/CASP3/CASP8/ITGA10/OASL/TRADD/ISG15/IKBKE/MAML1",62
"Organismal Systems","Digestive system","hsa04978","Mineral absorption","16/988","45/6222",0.355555555555556,2.2391363022942,3.62433431116099,0.000972337225684973,0.00610921313496408,0.00488582558288576,"SLC26A9/FTH1/HEPHL1/MT1A/MT1B/MT1E/MT1F/MT1G/MT1H/MT1M/MT1X/MT2A/SLC26A6/SLC8A1/SLC8A3/VDR",16
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","36/988","140/6222",0.257142857142857,1.61937536148062,3.22022671832675,0.00168488254586615,0.0103901090328412,0.00830945972912545,"CPT1B/AGER/DUSP4/DUSP5/DUSP8/ABCA1/S1PR1/PANX1/ATP11C/GPR132/HIF1A/ANO9/XKR7/ITGAV/JAK2/ARG2/P2RY6/MAPK11/PTGER2/PTGER4/PTGS2/SLC2A1/THBS1/C1QA/C1QB/C1QC/DUSP16/CASP1/CASP3/PLA2G6/CASP7/SCARF1/SPHK1/SIGLEC10/CH25H/CD47",36
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagosome formation","26/988","92/6222",0.282608695652174,1.77974828375286,3.27348094903125,0.00173697311706153,0.0105165826905726,0.00841060667208742,"AKT3/PLA2G4B/FCGR2A/FCGR2B/FCGR3A/FCGR3B/AMPH/HCK/LIMK2/LYN/MARCKS/MYO10/PLD1/PLD2/ASAP3/PRKCE/MARCKSL1/NCF1/ACTR3C/VAV2/PLA2G6/PLA2G4C/PLPP1/JMJD7-PLA2G4B/SPHK1/GAB2",26
"Metabolism","Amino acid metabolism","hsa00360","Phenylalanine metabolism","6/988","10/6222",0.6,3.77854251012146,3.8202610089545,0.00186278191370976,0.0109503984687733,0.00875754958937772,"IL4I1/AOC2/HPD/MAOA/MAOB/AOC3",6
"Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","44/988","181/6222",0.243093922651934,1.53090120115418,3.14912783978516,0.00187439253069092,0.0109503984687733,0.00875754958937772,"AKT3/CGAS/APOBEC3D/APOBEC3H/APOBEC3A/APOBEC3F/TBK1/HLA-A/HLA-B/HLA-C/HLA-E/HLA-F/HLA-G/STING1/FAS/ITPR3/LIMK2/NFKB1/NFKBIA/IRAK4/PPP3CC/MAPK11/B2M/RELA/APOBEC3G/BID/BST2/TAP1/TAP2/TAPBP/TLR2/TNF/TNFRSF1A/TRAF2/TRAF5/CASP3/CASP8/CUL1/TRIM5/TRADD/RIPK1/AP1G2/CD247/APOBEC3B",44
"Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","25/988","89/6222",0.280898876404494,1.76898057589956,3.17442890249539,0.00231475568435722,0.0132898903946716,0.0106285515089361,"PLA2G4B/CALCRL/ADM/ADORA2A/MYL6B/AGTR1/EDN1/ADCY4/KCNMB3/KCNMB4/GNA12/GUCY1B1/ITPR3/MYH11/MYLK/PLCB4/PRKCE/PRKCH/PTGIR/CACNA1D/ADM2/PLA2G6/PLA2G4C/JMJD7-PLA2G4B/ARHGEF11",25
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","18/988","58/6222",0.310344827586207,1.954418539718,3.172584970738,0.00283765402295176,0.0160159116888633,0.0128086791758572,"CD55/HLA-A/HLA-B/HLA-C/HLA-DOB/HLA-E/HLA-F/HLA-G/ICAM1/MYH7/BID/SSPN/CASP3/CASP8/CAV1/CD80/CD86/CD40",18
"Organismal Systems","Endocrine system","hsa04920","Adipocytokine signaling pathway","17/988","56/6222",0.303571428571429,1.91176257952574,2.97759571689901,0.00473337552409481,0.0262702341587262,0.0210095439929121,"AKT3/CPT1B/ACSL1/ACSL4/JAK2/NFKB1/NFKBIA/NFKBIB/NFKBIE/RELA/SLC2A1/STAT3/TNF/TNFRSF1A/TRAF2/TRADD/SOCS3",17
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","22/988","80/6222",0.275,1.73183198380567,2.86215524939847,0.00545520121131221,0.0297800328420814,0.0238164953660395,"COL1A1/GNA15/CXCL1/CXCL2/CXCL3/IL1B/IL6/CXCL8/IL12B/ARG2/LAMA3/LAMB1/LAMB3/NFKB1/SERPINB9/PLCB4/RELA/TLR2/TNF/CASP3/CD14/GNA14",22
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","23/988","85/6222",0.270588235294118,1.70404858299595,2.83939454586405,0.00564654424474736,0.0303274069919495,0.0242542562635158,"AKT3/RASGRP1/BATF/BATF2/CD274/HIF1A/IFNGR2/TICAM2/JAK1/JAK2/NFKB1/NFKBIA/NFKBIB/NFKBIE/PPP3CC/BATF3/MAPK11/RELA/STAT1/STAT3/TLR2/ZAP70/CD247",23
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","31/988","126/6222",0.246031746031746,1.54940235203393,2.70673053024272,0.00690959315364578,0.0365221352406991,0.0292084723119863,"AKT3/BCL2L11/CSF2RB/CTSL/DAXX/GADD45A/ERN1/BIRC3/FAS/IL3RA/ITPR3/MCL1/GADD45B/NFKB1/NFKBIA/PMAIP1/RELA/BID/TNF/TNFRSF1A/TRAF1/TRAF2/CASP3/CASP7/CASP8/CASP10/TRADD/RIPK1/TNFSF10/CFLAR/NOL3",31
"Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","12/988","37/6222",0.324324324324324,2.04245541087646,2.76299571732158,0.00943184828548666,0.0490750856104228,0.0392476581616468,"PLA2G4B/PLAAT3/CYP2E1/CYP2J2/ALOX15B/GGT5/PLAAT2/PTGS2/PLA2G6/PLA2G4C/JMJD7-PLA2G4B/PTGES",12
