"SYMBOL","LPS_logFC","LPS_adjP","LPS_regulation","Sepsis_logFC","Sepsis_adjP","Sepsis_regulation","LPS_sig","Sepsis_sig","both_sig","same_direction","overlap_class"
"CDC6",-2.75532967627996,0.00740271412388138,"Down",0.915316381698306,2.15698282685263e-09,"Up",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"IL2RB",2.00513195352607,0.00740308326724102,"Up",-1.58120734705172,1.11477233978569e-16,"Down",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"RDH13",-1.44094031329703,0.00742903664564045,"Down",-0.555951404111043,6.68607424958354e-07,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"PLEKHA5",1.37698787068108,0.00744126699874321,"Up",-0.880658493078835,5.23353956139343e-12,"Down",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"CCNE2",-2.26202131619937,0.00744376256740347,"Down",0.856291144629711,2.33787151601449e-10,"Up",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"SHISA4",1.61735666149687,0.00747897038675515,"Up",-0.562289354345298,0.000481274557208737,"Down",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"RTL6",-1.07341417034926,0.00750338919048551,"Down",-1.07706763517035,3.34461475765441e-19,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"ALCAM",-1.41991223907277,0.00753691084418897,"Down",0.577740842119345,2.47733105397257e-05,"Up",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
"HLA-DOA",-1.85268010588537,0.00754420215360023,"Down",-1.07496186598296,1.92371311162263e-15,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"LARGE1",-1.46244969981595,0.0076160632544907,"Down",-0.910582666764135,4.49028015275784e-09,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"PALB2",-1.22591055393493,0.00762139589387015,"Down",-0.558955321309729,1.33333160949333e-11,"Down",TRUE,TRUE,TRUE,TRUE,"Both significant, same direction"
"TIMP4",-2.64578126129081,0.00773728312089506,"Down",1.52129104562918,3.56534078040709e-07,"Up",TRUE,TRUE,TRUE,FALSE,"Both significant, opposite direction"
