"SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulation"
"NFYC",0.30059293716509,13.935435304836,6.96390548175322,9.96555041461182e-10,4.1820031602227e-09,11.6139603498085,"Not significant"
"RABGEF1",0.410841792040813,8.56251314897693,6.9636318740133,9.97740691831611e-10,4.18606390763435e-09,11.6127871851562,"Not significant"
"SETDB2",-0.397429748393644,11.4454488518409,-6.9633069519373,9.99150528513253e-10,4.1910632588554e-09,11.6113940099858,"Not significant"
"SLC45A1",-0.533432176328283,6.23361738646167,-6.96276762899886,1.00149502204108e-09,4.19998010662915e-09,11.6090815751699,"Down"
"KIF5A",-0.583029791916138,6.21700577587683,-6.96220986312504,1.00392543983547e-09,4.20925332339751e-09,11.6066901045186,"Down"
"CD200R1",-0.783176438275391,10.1316539833444,-6.96118017614472,1.00842762282346e-09,4.22720708165878e-09,11.6022753405151,"Down"
"YEATS2",-0.399040999292519,12.2046444283397,-6.95993074714676,1.0139175540078e-09,4.2492926210414e-09,11.5969186288429,"Not significant"
"CRYBG1",0.324128601948103,14.4592556241096,6.95971673248648,1.01486089918186e-09,4.25142006721972e-09,11.596001098993,"Not significant"
"ZNF433",-0.461678776147448,6.25265595476756,-6.95971512956167,1.01486796792872e-09,4.25142006721972e-09,11.5959942269107,"Not significant"
"CCDC126",0.660940877320357,11.1564684928296,6.95851999437158,1.02015204282136e-09,4.27262370300949e-09,11.5908705227805,"Up"
"SETD4",-0.286290165528015,11.0143673628867,-6.95823005159243,1.0214380882066e-09,4.27707710593794e-09,11.5896275284851,"Not significant"
"UBA2",-0.299615195499067,12.7875896060649,-6.95763378311488,1.02408791141811e-09,4.28723788161369e-09,11.5870713415208,"Not significant"
"ZNF45",-0.341710481663105,10.6270616636681,-6.95707485090678,1.02657801454459e-09,4.29672572216648e-09,11.5846752578327,"Not significant"
"AXL",-0.674055898263737,5.42445011941661,-6.95653376731383,1.02899433180253e-09,4.30590066541818e-09,11.5823557295757,"Down"
"HYOU1",-0.42744358094973,12.8092519532085,-6.95555980814912,1.03335799343483e-09,4.32321863789304e-09,11.5781806413701,"Not significant"
"STRC",-0.350386981153707,4.40581054704875,-6.95301948341124,1.04482622007693e-09,4.37024567722441e-09,11.5672915910472,"Not significant"
"SIT1",-0.653690337967286,12.3042387191573,-6.95173433808118,1.05067606127179e-09,4.39375705675134e-09,11.5617831754335,"Down"
"CEP41",-0.456622980392416,9.73756163992347,-6.95129972589339,1.05266172389348e-09,4.40110234790473e-09,11.5599203827698,"Not significant"
"SSTR3",-0.739407189572105,9.99424355182757,-6.95108154457069,1.05365995946803e-09,4.40431697903019e-09,11.5589852447994,"Down"
"NPIPA1",-0.671559672692948,9.5295938418813,-6.95061766669151,1.05578544708992e-09,4.41224111870896e-09,11.5569970584644,"Down"
"SSH3",0.44251566679686,12.8232498951463,6.95016724268206,1.05785336614807e-09,4.41992127722831e-09,11.5550665635935,"Not significant"
"ZNF19",-0.430501040262682,7.67882434736928,-6.95009690433999,1.05817665612136e-09,4.42031027354764e-09,11.5547650994547,"Not significant"
"DNAJC13",0.404890729150631,13.1808532295294,6.94967451513125,1.06012011281089e-09,4.42746553421218e-09,11.5529547894717,"Not significant"
"CTDSP1",0.370717037379869,15.9799990471692,6.94825861305793,1.06666073520022e-09,4.45381302414651e-09,11.5468865785569,"Not significant"
"KRT18",-0.623634013046049,7.80480415223886,-6.94813832522783,1.06721823774297e-09,4.45517213464744e-09,11.5463710668449,"Down"
"PLEKHA7",-0.758502972911996,8.20323718439016,-6.94807886747644,1.06749391575204e-09,4.45535441516766e-09,11.5461162523754,"Down"
"CCR9",-0.769497331421279,7.5687064402073,-6.94788369164836,1.06839935301819e-09,4.45816444502572e-09,11.5452798025847,"Down"
"GPR89B",-0.352564266551637,9.60057154884767,-6.9477639653428,1.06895515114602e-09,4.45951461382948e-09,11.5447667034848,"Not significant"
"NDFIP2",-0.731196053806914,8.29270884410476,-6.94757679948434,1.06982459551152e-09,4.46217239522322e-09,11.5439645893271,"Down"
"ATF7IP",-0.3076163196192,14.0144167441672,-6.94728989424232,1.07115872513686e-09,4.4667667749844e-09,11.5427350433888,"Not significant"
"PEX2",0.566043965271257,12.0163471818989,6.94677343685968,1.07356445636946e-09,4.47582680322684e-09,11.540521769224,"Up"
"LARGE1",-0.910582666764135,8.49621297698105,-6.94598124296005,1.07726504524061e-09,4.49028015275784e-09,11.5371268990445,"Down"
"CTDP1",0.496258664959072,13.8444976476822,6.94544100083533,1.07979595436288e-09,4.49985280200311e-09,11.5348117929054,"Not significant"
"SEZ6",0.520479559298143,4.78880857339867,6.94462866518854,1.08361268460158e-09,4.51477855986204e-09,11.5313307561178,"Up"
"SLC25A32",-0.392707734809744,11.0469631925285,-6.94375339513708,1.08774011496233e-09,4.5309920667292e-09,11.5275801324919,"Not significant"
"ATP5IF1",0.291583433361127,12.4845761881711,6.94356248602142,1.08864244071699e-09,4.5337672498565e-09,11.5267620808963,"Not significant"
"SLC41A2",-0.542753162926992,6.46573067703434,-6.94205346813785,1.09580098961227e-09,4.56259028697407e-09,11.5202960670125,"Down"
"C1ORF159",-0.434584659709308,10.5315645136896,-6.94053781421229,1.10303810134571e-09,4.59172786909639e-09,11.5138019320488,"Not significant"
"ATG4A",0.349180854228318,10.8104264112012,6.93987638943241,1.1062112123212e-09,4.60393886220285e-09,11.5109680184556,"Not significant"
"TRPS1",0.647559499967653,11.5670714828732,6.9397315135348,1.10690744817705e-09,4.60583829411568e-09,11.5103472971105,"Up"
"UNC93B1",0.503053966408284,14.9535328154327,6.93926194686211,1.10916705754233e-09,4.61424068587206e-09,11.5083354566646,"Up"
"DNAJC1",0.396111017923176,11.6535193765697,6.93889006529306,1.11095984675879e-09,4.6206978421722e-09,11.5067421657711,"Not significant"
"KMT2C",-0.380128970806073,13.6776808277484,-6.93860846069902,1.11231933874856e-09,4.62499547933834e-09,11.5055356705387,"Not significant"
"NOP53",-0.479595294871226,16.1911440584319,-6.93857627455121,1.11247482784272e-09,4.62499547933834e-09,11.5053977742134,"Not significant"
"RDH16",-0.687223443676037,7.21717682795701,-6.93756739052398,1.11735964208151e-09,4.64429809672969e-09,11.5010754464709,"Down"
"LNPK",0.677460942186548,12.1324605264339,6.93726198105305,1.11884257167649e-09,4.64945550831066e-09,11.4997670185574,"Up"
"ANKRD9",1.0234841738951,11.1960034028938,6.93701517692072,1.12004236898021e-09,4.65343435991495e-09,11.4987096755884,"Up"
"CLCN2",-0.395993705348292,8.06866420966082,-6.93557663097121,1.12706110708638e-09,4.68158218459436e-09,11.4925469127962,"Not significant"
"REXO1",-0.269507671637337,13.3491902202643,-6.93550507126474,1.12741138930447e-09,4.68202441799603e-09,11.4922403568543,"Not significant"
"PHF1",-0.380101103259823,13.5080642271348,-6.935410437523,1.12787478422715e-09,4.68293610411114e-09,11.4918349547102,"Not significant"
"MRPS22",0.436993215263282,11.0416695579409,6.9352808971899,1.12850941381063e-09,4.6845582086912e-09,11.4912800179743,"Not significant"
"IQCK",-0.405225090328956,5.95331415995824,-6.93443170071931,1.13267849878573e-09,4.7008483276815e-09,11.4876422095903,"Not significant"
"SUGP2",-0.364118843845337,13.6768544066698,-6.93412626376362,1.13418176450567e-09,4.7060701002166e-09,11.4863337956427,"Not significant"
"LRMDA",0.626481752054735,9.4372589144995,6.93393022214707,1.13514766474581e-09,4.70906040313539e-09,11.4854940101704,"Up"
"DDX47",-0.586889675198773,7.31394398513633,-6.93381861352122,1.13569792734262e-09,4.71032555048821e-09,11.4850159135259,"Down"
"SERAC1",0.398705910323199,10.2716533425858,6.93323411704089,1.13858399447126e-09,4.72127584664904e-09,11.482512140396,"Not significant"
"CLEC2B",0.717348899651763,12.2227387882524,6.93128882909166,1.14824182731886e-09,4.76029529576944e-09,11.4741795641897,"Up"
"RINL",0.299889768417082,13.2450949293811,6.93012690087925,1.15404927399531e-09,4.78333870246749e-09,11.469202732391,"Not significant"
"SECTM1",0.821265881344415,16.1377191014713,6.92999430984549,1.15471383117847e-09,4.78506035824777e-09,11.4686348233771,"Up"
"TMSB10",0.469876959831189,17.0187351063095,6.92904234729453,1.15949632431756e-09,4.80384205304641e-09,11.4645574838859,"Not significant"
"TRPV4",0.689075578922851,7.53951593893219,6.92810092704607,1.1642452095142e-09,4.82247643621683e-09,11.4605254211835,"Up"
"SLC22A15",0.537468007439087,12.0749178101677,6.9268758611851,1.1704538597449e-09,4.84714804155302e-09,11.4552786999924,"Up"
"HSP90AB1",-0.519120368504629,15.4841514314739,-6.9265951291489,1.1718812401899e-09,4.85201281918213e-09,11.4540764079897,"Down"
"PPP2R2A",0.262421859281819,13.2047835920453,6.92648452885815,1.17244406154801e-09,4.85329668331677e-09,11.4536027427617,"Not significant"
"CEP68",-0.425083139593831,11.718586283397,-6.92540124948658,1.1779708576252e-09,4.87512378857259e-09,11.4489634975901,"Not significant"
"DCBLD1",-0.576615081135626,8.74559290664368,-6.92498761363304,1.18008801383085e-09,4.88283346899242e-09,11.447192106277,"Down"
"KIR3DL1",-1.15347840347197,8.60696044576549,-6.92438998145928,1.18315361707918e-09,4.89446335820153e-09,11.4446327944948,"Down"
"AMMECR1L",-0.191140570230821,11.8555772589647,-6.92216431853986,1.19464010388586e-09,4.9409161996382e-09,11.4351020076964,"Not significant"
"ULK3",-0.415844655535274,12.3677917755537,-6.92140514157469,1.19858344976445e-09,4.95510881990942e-09,11.4318511993288,"Not significant"
"CRLS1",0.554246149189631,11.5716614374425,6.92140431599288,1.19858774506479e-09,4.95510881990942e-09,11.4318476642174,"Up"
"ARMH2",0.49830821038441,7.54271344481732,6.92049949494501,1.20330451339595e-09,4.97353778965614e-09,11.4279733102056,"Not significant"
"TMEM14B",0.352120445306283,11.6012980201579,6.91992302055396,1.20631924699599e-09,4.98492543577879e-09,11.4255049633972,"Not significant"
"PRXL2A",-0.6400068582054,8.93612209841378,-6.91684306310518,1.2225538172606e-09,5.05092533409108e-09,11.4123179921248,"Down"
"CCND1",-0.539226835558265,7.13484004233767,-6.91663978717258,1.22363289647655e-09,5.05429608755414e-09,11.411447703912,"Down"
"CBS",1.09283449748292,6.99237607056427,6.91651219839062,1.22431067790204e-09,5.05600816080709e-09,11.410901459144,"Up"
"PPP1R13L",-0.564094187352771,8.70095269690115,-6.91516118291725,1.23151051399081e-09,5.08464768870471e-09,11.4051175074319,"Down"
"VWA5A",0.990896367761439,11.1195346373139,6.91484055007667,1.23322539875947e-09,5.09063356242007e-09,11.4037448552552,"Up"
"HOXC4",-0.697298052514323,7.57613095651878,-6.91479038949919,1.23349389401569e-09,5.09064759225947e-09,11.4035301155256,"Down"
"CLTCL1",0.681487989622107,10.9282171831277,6.91450603672743,1.23501705144118e-09,5.09583851285452e-09,11.4023127949282,"Up"
"IPCEF1",-0.330355089541965,13.1703527067619,-6.91340150458749,1.24095131023727e-09,5.11922406240306e-09,11.3975843752112,"Not significant"
"BABAM2",0.448535031424771,12.0915561852176,6.9132739208305,1.24163859500551e-09,5.12095917952981e-09,11.3970382096476,"Not significant"
"ZNF345",-0.447539466311244,9.59088744772692,-6.91303804311586,1.24291024781529e-09,5.12510317560597e-09,11.396028461045,"Not significant"
"TMEM185B",0.459822432371855,11.8562044526902,6.91274257848235,1.24450496852877e-09,5.13057726720868e-09,11.3947636429074,"Not significant"
"CLUAP1",-0.590915883647985,9.76196393057911,-6.9111879857214,1.25292916829408e-09,5.16419807227971e-09,11.388108979527,"Down"
"APBB1IP",0.564325358133806,16.3315480291766,6.91063936535976,1.25591559795016e-09,5.17539640073755e-09,11.3857606099922,"Up"
"PLXNA4",-0.812336967406088,7.75319552027933,-6.91012997275613,1.25869482154967e-09,5.18573624934957e-09,11.3835801926268,"Down"
"FBXL19",0.391536425098029,12.4991530464834,6.90998085058281,1.25950958114756e-09,5.18797994139351e-09,11.3829418930724,"Not significant"
"CUL3",0.287190706730413,14.0550766579115,6.90869556362699,1.26655376593581e-09,5.21587646735265e-09,11.3774405058314,"Not significant"
"TMEM205",0.435317886228901,12.0344505378857,6.90732599138923,1.27410296617693e-09,5.24584032150419e-09,11.3715786090574,"Not significant"
"ZNF257",-0.679972616200812,7.29786764304899,-6.90619176607908,1.28038874232528e-09,5.27059057210554e-09,11.3667242184224,"Down"
"AC020613.1",0.541838827028068,5.62873660388842,6.9059513479323,1.2817250705931e-09,5.27496067951122e-09,11.36569527183,"Up"
"REPS1",-0.324240514107759,12.047605335619,-6.90465714628137,1.28894253838511e-09,5.30352765472665e-09,11.3601564602564,"Not significant"
"WDR89",-0.58658669268389,10.2108032752847,-6.90369192317575,1.2943516406977e-09,5.3246432211478e-09,11.3560257358163,"Down"
