"SYMBOL","LPS_logFC","LPS_adjP","Sepsis_logFC","Sepsis_adjP","direction_pair","candidate_score"
"ANXA3",4.52441881545304,0.0081331457012564,2.64905725543689,1.14537036474929e-24,"Up in both",9.77655562143492
"CLEC4E",5.9284288346781,0.00015599649428404,1.49840007038312,6.38127380781312e-19,"Up in both",9.6270266832329
"GPR84",3.45333948171066,0.00045580152563079,3.16456572836537,2.93105335853274e-24,"Up in both",9.305325260162
"FAM20A",3.31660080996476,0.000960517057318437,3.14795107346579,2.54361819208104e-24,"Up in both",9.12575618302135
"GOLGA7B",-6.12101113822303,7.88937887204977e-05,-1.09412058428753,2.00695857613049e-14,"Down in both",8.99517360037091
"ACHE",6.87062056615857,0.00174849093659206,1.14797915427701,2.06125088322565e-07,"Up in both",8.96292029641528
"IFITM3",5.70396450511219,7.97116955092693e-05,1.5920096708889,9.72004712485168e-13,"Up in both",8.90705513426297
"CD300H",7.60734176672399,0.00690556415390305,0.782460198083816,0.00129549566139894,"Up in both",8.89463845209082
"ADM",4.48431866194613,0.000170660524996913,1.68854640987422,1.11200461659066e-23,"Up in both",8.84504110506364
"ADGRE1",6.09226421177275,0.000280798327106266,1.13166627798726,2.37772304140531e-13,"Up in both",8.84147491151533
"KL",6.08536663099124,0.000814943476432867,1.36278387076355,1.74861324861263e-11,"Up in both",8.83276837653847
"PLSCR1",4.52596959932757,2.57591452983621e-05,1.58152797067947,2.75456179962213e-22,"Up in both",8.72239917308795
"PLAC8",5.18627287566268,0.000435199803732852,1.66051499552404,8.70492883973474e-16,"Up in both",8.68894247957993
"NAMPT",5.66141621747307,0.000294016518672229,1.07679749168537,9.08321242978717e-16,"Up in both",8.59555258894198
"CUX2",-5.2499977177525,0.000713401987819307,-1.14528196112413,4.81065117549761e-18,"Down in both",8.44172586066731
"PSTPIP2",4.30475659342026,3.56396731860253e-05,1.43649402216509,5.81012230502045e-23,"Up in both",8.40963871683977
"HPN",5.32255755992876,0.00165843506417066,1.3262136060574,5.42776755290024e-15,"Up in both",8.3533391947934
"NSUN7",4.57051145467093,0.000472967979330973,1.53224808493214,1.54701332857932e-18,"Up in both",8.21632696012508
"LILRA5",3.37447127000283,0.00022285668589129,2.23979430566687,6.08360876464187e-23,"Up in both",8.20104688119638
"THBS1",6.33422293640507,0.000664683689495597,1.009109583208,6.21482973106523e-06,"Up in both",8.18172809395801
"GCH1",6.73067539423091,0.000106374995577727,0.523127050073015,1.22380995851764e-05,"Up in both",8.14234709051387
"PFKFB3",4.29829592215306,2.61800960583335e-05,1.64209814532139,1.37465128803168e-17,"Up in both",8.08477768957045
"S100A8",2.76596513659446,0.0157359811533117,2.88392307035605,3.10772785725501e-23,"Up in both",8.08095452619762
"OSM",4.11225561907075,0.000240508072709244,1.65909423536359,4.71620770389198e-20,"Up in both",8.06587759628269
"SAMSN1",3.93919928229709,2.61800960583335e-05,1.8949571073314,5.26071935707174e-18,"Up in both",8.02025475264192
"RETN",3.18738151320039,0.0258325893252733,2.9519399972662,1.45398380545591e-17,"Up in both",7.98184875955196
"ADAMTS2",2.52706082587825,0.0136462320012149,3.20218837224762,4.75446092678808e-21,"Up in both",7.9480377948139
"MT1G",6.33356392271549,0.00460088589259229,0.609759982033446,2.86657011227993e-08,"Up in both",7.93130350166336
"PTGES",6.14769415759609,0.000225620246017001,0.852108934376021,5.13892876767964e-05,"Up in both",7.79337802534428
"INSL3",4.4711313830899,0.00284041937841838,1.34109868891435,9.36115214427811e-18,"Up in both",7.76975889493629
"C2CD4B",6.13536697813038,0.00364142332760749,0.69688188826538,2.07787894400658e-07,"Up in both",7.74435972516871
"CR1L",5.71137036230205,0.00149847687276504,0.912027989874152,5.54007279042859e-09,"Up in both",7.73148180063401
"TXN",3.50115805258497,0.000508600615377575,1.65027039221422,7.31978095762041e-23,"Up in both",7.69434094815674
"GRAMD1A",4.3753624375716,2.61800960583335e-05,0.858850983637894,2.28283036718088e-20,"Up in both",7.65656893353064
"RTN4R",-5.16072656383874,9.62268438815875e-05,-0.891295686669397,1.03907006158761e-12,"Down in both",7.65202814315552
"NCF1",6.00679312751278,0.000220595280593051,0.552241058089575,1.00903852292413e-07,"Up in both",7.62428378921152
"CD1E",-4.4998305483817,0.00212801436055171,-1.03074680336671,1.0862260265783e-18,"Down in both",7.59418787585689
"FCAR",3.76527948766845,0.00400470909768766,1.62282786237188,9.17765111087767e-20,"Up in both",7.5315770982081
"MT1F",5.22285103313392,0.00199975729908832,0.712446613537675,6.46779054830469e-14,"Up in both",7.52412432287308
"LIMK2",4.31060793845587,8.97027982566873e-05,0.983712433000422,7.37296776638891e-19,"Up in both",7.51227553883673
"CD274",4.46152538684348,0.000299680051918764,1.43472614768073,3.80783986475147e-13,"Up in both",7.49051788337343
"ADGRD1",-4.158957335128,0.000714900679778809,-1.27967430776915,6.23874729643746e-18,"Down in both",7.47369733242743
"SARDH",-4.9303498819248,0.000196477727170628,-0.976941198065775,4.27800680918484e-12,"Down in both",7.41483560027884
"VCAN",5.99142361520616,0.00685611728620842,0.582053942357112,6.5019029897401e-07,"Up in both",7.40856568518563
"SRGN",3.83295740365975,8.51731678391311e-05,1.35480858751723,1.71138217966955e-18,"Up in both",7.37140101060998
"VAMP5",4.30601973458551,0.000130106743860979,1.17854107779277,2.03828510354151e-15,"Up in both",7.3422043385203
"MATK",-4.59251820303073,0.000116067018134443,-1.1000473012551,3.17059302901868e-13,"Down in both",7.33598057152548
"CASP5",4.35905166978643,0.00240533644786011,1.44666826178585,3.37382305433665e-13,"Up in both",7.31479011819996
"CCN3",-3.03817711474933,0.00364206808843281,-2.09435311088367,3.84393268928325e-19,"Down in both",7.21791784214871
"LY9",-3.9602970805402,0.00160636549533265,-1.1316881195634,4.37254428951591e-19,"Down in both",7.20732734169559
"TGFA",4.53303390107866,0.000135206929672381,0.952073973027451,5.02640528432779e-14,"Up in both",7.20188222869861
"PNPLA1",4.37784772561316,0.00161115585183462,1.15420817104347,4.35996003801554e-14,"Up in both",7.14739389048511
"KCNE5",4.92374473395851,0.00213239674808225,0.814339191998538,4.61123017058188e-12,"Up in both",7.13881544473524
"FCMR",-3.73309026831367,0.000166826079533062,-1.12851174568774,1.51050082299819e-19,"Down in both",7.12146352299235
"KLHL32",-4.70466032785933,0.00264082504101441,-0.803198809951297,3.39704123123546e-14,"Down in both",7.1125750930561
"SCN1B",4.62793785833759,0.000196477727170628,0.846763969141021,2.23948581225056e-13,"Up in both",7.11035566337431
"FFAR2",4.3272708095137,0.000907681930201241,1.01835345380891,2.52069478183094e-15,"Up in both",7.10967886811299
"DACH1",3.83576926739121,0.0234444670184116,1.55109499430736,2.76304449134376e-16,"Up in both",7.10572143748496
"FPR1",3.8182960650085,0.00207336765800346,1.20027345783068,6.48768242510619e-19,"Up in both",7.10569293257832
"DNAAF1",5.55641521940064,0.000606612901361875,0.713461719452403,1.00252353611446e-05,"Up in both",7.09147631686539
"TNFSF13B",4.19055557733368,0.000618605917985437,1.10067527686566,2.61529341534869e-15,"Up in both",7.07033740512023
"MT2A",5.57061503667033,0.000440044170567202,0.667955053590687,1.87522000657272e-05,"Up in both",7.04691524026926
"SH3PXD2B",3.43243438253742,0.00410088218313679,1.7356330723929,9.50444994525952e-17,"Up in both",7.00898702691253
"PPBP",4.69103757848055,0.00159898102492853,1.23077733361241,1.42173377861269e-08,"Up in both",6.98614875290813
"SYN1",5.45834374960983,0.00968553969441897,0.665616315720986,3.24049023673646e-07,"Up in both",6.97428661106597
"IRF7",5.09787784844375,6.43592707665896e-05,0.70083310175427,4.54897668035642e-08,"Up in both",6.95205846768807
"STOM",2.96995187833132,0.000308809406314754,1.70505492796133,1.64337709454459e-19,"Up in both",6.90446403130132
"C1QB",2.56358203443057,0.000729847523968489,2.45355554560067,1.90202469102409e-16,"Up in both",6.90289275109026
"SPTBN1",-4.22090663759022,6.76074946367803e-05,-0.835161360317737,8.72307824343729e-15,"Down in both",6.87900153687167
"TMC8",-4.11042521071823,8.97027982566873e-05,-0.680716608419775,2.09550606199096e-17,"Down in both",6.86373232788935
"S100A9",1.95848556582913,0.0136766764835408,2.39532111170502,1.19327081927475e-23,"Up in both",6.83253471810236
"ISM1",-4.23070594543083,0.00483684295947675,-1.05412890321523,1.35591649403645e-13,"Down in both",6.80315535555909
"TIMP1",3.75807001755677,0.00131468428862786,1.26506721943067,1.4556265283024e-15,"Up in both",6.7949500935168
"C1RL",4.04677090412233,0.000220595280593051,0.773800660083914,8.24453139502054e-17,"Up in both",6.79459534490074
"SLC26A8",2.40568885823057,0.0101277902669281,1.74964874441275,5.01595547352308e-25,"Up in both",6.78475076547067
"MMP25",4.26720934106835,0.000270592471370421,0.841435755628425,7.36510305902741e-14,"Up in both",6.77869564295563
"LRG1",3.03860949715951,0.00412417339914902,1.58541535461311,7.39151621627223e-20,"Up in both",6.77561780669605
"CARD16",2.89278134398636,0.000457935795653961,1.46049335400969,1.94057924036727e-21,"Up in both",6.75840110062919
"NFKBIA",4.02102476466383,6.76074946367803e-05,0.843544513732168,2.26587997355369e-15,"Up in both",6.74604610405594
"LRATD2",-3.76766175660671,0.000896618135287096,-1.11572964096944,4.24441716316407e-16,"Down in both",6.72534883949389
"ABCB1",-3.19186775203047,0.00301132334141027,-1.39722217612685,1.56674515843347e-19,"Down in both",6.72171435297907
"C1QC",2.00350872036573,0.000336770356519006,2.57840026613324,1.36417322166545e-18,"Up in both",6.71568864881096
"ANKS6",-3.7274335593256,0.000451429152744343,-0.99369050739775,3.05601225087244e-17,"Down in both",6.70714959744809
"CA12",5.30659661087503,0.000738853972219574,0.524292018090306,2.92486061911314e-06,"Up in both",6.69742225020348
"NT5C3A",4.28714470227903,0.00451040868012925,0.73952226621475,5.45799825342051e-15,"Up in both",6.68754203982663
"MT1X",5.20089222737052,0.00176857168011097,0.560416192995408,6.87663312051251e-07,"Up in both",6.6528085682573
"KCNA2",-4.98949096308149,5.88542561611737e-05,-0.59002108895406,4.37997058151389e-07,"Down in both",6.63838714516476
"AMIGO1",-2.9444891658077,0.00157579302234299,-1.45561606980696,2.73937568518201e-20,"Down in both",6.63659015864423
"PLEKHG4",-3.38618227972894,0.00063487109117311,-1.24339379773283,1.41422147814801e-17,"Down in both",6.63425577939721
"TNIP1",4.2898880261378,3.56396731860253e-05,0.645155402409831,3.93847691549885e-13,"Up in both",6.62031722682585
"GADD45A",2.11462949592474,0.0117168444848793,2.35153390606946,2.64113068394343e-20,"Up in both",6.61710334635168
"NTNG2",4.43867725513415,0.00705909316905002,0.769907844653877,1.27363356570185e-12,"Up in both",6.61320575878702
"SEMA4A",3.53328264436581,0.000158171541181322,1.0664798016203,5.2721537348199e-17,"Up in both",6.60765080478673
"CLEC6A",4.75751541626873,0.000124715724877442,0.829472235942356,5.06413466435477e-07,"Up in both",6.60694500610022
"TLR2",3.5890667502768,0.000219267418533818,0.968593312297336,3.14274745587503e-17,"Up in both",6.57383170386269
"MUC1",4.13640728980628,0.000227603222947304,0.857332981727703,7.88109814379387e-13,"Up in both",6.5683637571965
"CD180",-5.02486522219154,0.000291901139919142,-0.50264791717999,1.46828467754721e-07,"Down in both",6.5643085336052
"GK",3.65613003773984,0.000135206929672381,1.03687391676529,1.67563217989989e-15,"Up in both",6.5574861902029
"DRAM1",2.51327735464273,8.97027982566873e-05,1.38739055397659,5.81012230502045e-23,"Up in both",6.52896878206976
"SAT1",2.71588715626385,0.00012461847244769,1.22779885583929,1.587794688446e-22,"Up in both",6.51404833527973
"CEACAM1",3.08577738691547,0.00413064333133181,1.62844640684408,2.66419792682111e-16,"Up in both",6.51006537550128
"GRINA",2.38437139652981,8.83712101571786e-05,1.59236367650004,8.15774334861722e-22,"Up in both",6.49094698902024
"IER3",3.51834602652731,0.000114642208946196,1.12297583593704,5.43600167374248e-15,"Up in both",6.46185944973318
"CRISPLD2",4.65986622903819,0.000195490945282595,0.725266528322977,1.36260857216256e-07,"Up in both",6.44258298102382
"SLC45A3",-3.98064831378528,0.00129833210371249,-1.11673725055388,2.79546788648025e-11,"Down in both",6.44140153398379
"AMPH",2.50599160584525,0.00217184123500197,2.04538022725731,8.35103660823993e-17,"Up in both",6.42551498690606
"CD300LB",-4.75150713255442,6.76074946367803e-05,-0.574190680077206,1.81369735213863e-07,"Down in both",6.41684184649766
"GLT1D1",3.4933406502059,0.000978784261666518,0.964248570945416,4.43906403844667e-17,"Up in both",6.39379138237504
"MT1E",4.92714258058731,0.00137003480292769,0.670107563582982,1.11961825048889e-05,"Up in both",6.37866998729169
"PALD1",-4.5687114601755,0.000600892544734758,-0.618300658881396,2.25453739369379e-09,"Down in both",6.37382669319094
"CETP",4.16434117855413,0.00516135859082398,0.819680711104589,3.34719873242039e-12,"Up in both",6.3602773365018
"THRA",-4.28737751392577,0.000186354649510289,-0.566542025788081,4.64657073503733e-12,"Down in both",6.36017226115268
"GPR42",3.99020515950503,0.0142313707613619,1.3785776753642,8.86477307366637e-09,"Up in both",6.35869139927577
"DEPTOR",-3.92615103857768,0.000623036959242781,-0.69877103459952,8.5146301849916e-15,"Down in both",6.35245411314756
"SLC39A10",-3.80086196387741,6.82408301525774e-05,-0.84301099428574,1.22740871509232e-13,"Down in both",6.3515696077606
"CDKN2D",3.28969682905367,0.000963847428622193,1.04564045473283,7.28075966635027e-18,"Up in both",6.35071878493038
"ADORA1",-4.0772649462096,0.000674216681681853,-0.820139243269784,5.42104275410572e-12,"Down in both",6.3411159568583
"PROC",-3.73653354431962,0.000896332931601348,-0.963962362832252,8.79489343182103e-14,"Down in both",6.3108259137207
"RNF144B",3.8232755539843,7.51320153901053e-05,0.90576674902088,4.58429267426594e-12,"Up in both",6.275332565482
"PRKACB",-3.6281992159289,0.00010552952440236,-0.998264407659859,4.46474493974665e-13,"Down in both",6.25914656012874
"LILRB2",3.86020808244693,0.000171920223788769,0.725479339151531,1.17254298861197e-13,"Up in both",6.25524184740844
"NUP210",-3.20009625130347,0.000186354649510289,-0.907981242105584,2.50999881098036e-18,"Down in both",6.24107611855572
"INHBA",4.41768815334634,0.00130765757463073,1.0396021445666,1.30134252817862e-05,"Up in both",6.23420173224595
"RNF125",-3.36994361616063,0.00386008014923902,-0.847449667027258,2.18919162281113e-18,"Down in both",6.22470527319909
"METAP1D",-3.95080439263057,0.00149656238413678,-0.726183512668943,2.3524419307988e-13,"Down in both",6.22232653160702
"ACSL1",2.41449730894397,0.000194659915671724,1.36500193718373,3.20391561385139e-21,"Up in both",6.20000348614551
"NECTIN2",2.70579355714775,9.3387196255442e-05,1.7780025683226,9.57741793749696e-14,"Up in both",6.18864254783479
"TBC1D4",-2.74236493344388,0.000249838487328865,-1.25242321691319,7.23518897273755e-19,"Down in both",6.16907722830674
"EVL",-3.31093304704914,0.000451255447928234,-0.997896946463054,7.55211844743327e-16,"Down in both",6.15558086841966
"BATF",2.34321944987315,0.00312408672971482,1.38936348590413,1.90537597425553e-22,"Up in both",6.15511255909797
"DYRK2",-2.53669487657496,0.000440044170567202,-1.17351648332794,1.16635276844864e-21,"Down in both",6.13917874023882
"PRR5L",-3.70005259826412,0.000349835425496194,-0.972345010791256,1.24841036251754e-11,"Down in both",6.10837549401838
"AP3B2",1.94450606642566,0.0161634554283674,2.69550852788225,1.96432548955121e-13,"Up in both",6.08983982809198
"ETS2",3.35020393018304,6.82408301525774e-05,0.910946835952307,9.92010804912675e-15,"Up in both",6.07809469574659
"CEACAM3",4.29109092715373,0.00728000355706379,0.637165293543697,6.53733663938418e-10,"Up in both",6.06050297659765
"ITPKB",-3.50192666503435,0.000227922375483094,-0.622274518653527,2.19831290250838e-16,"Down in both",6.05421353653548
"ADGRG6",-3.75153974041691,0.00109134971502995,-0.64099795213868,4.09502000691204e-14,"Down in both",6.0275156958256
"BATF2",4.34447025987292,0.00218298497092812,1.00407951227286,9.97350022272708e-05,"Up in both",6.01475993739951
"GPR141",3.18252992816805,0.00235632022250132,1.0122155091803,4.19176412938389e-16,"Up in both",5.99528232260911
"CCND2",-4.03393966642693,0.00180948176181419,-0.6451688782208,4.13516704246334e-11,"Down in both",5.99170381785461
"TTC3",-2.42354610638816,0.000433937793968365,-1.03515080013365,1.16997234907307e-22,"Down in both",5.98813659905816
"NAT8L",-3.72931772237612,0.000729420946807621,-0.757370366973534,1.97299903209336e-12,"Down in both",5.97087757904918
"SMPDL3A",2.86638399069959,0.00133163714916138,1.68891946093982,5.71400426862328e-12,"Up in both",5.96717080535861
"SPN",-3.31161915775193,0.00581684310863612,-0.978604032849809,3.02962379752407e-15,"Down in both",5.96561558523275
"SERPINA1",2.90461759942185,0.00145215283158852,1.10739073103116,2.24796533435453e-17,"Up in both",5.9606281368771
"CSRNP1",3.72411127395427,0.00022285668589129,0.704344965464,2.52319611647224e-12,"Up in both",5.95345857188094
"GALNT12",-3.10206098691305,0.00102336579132595,-1.00607107163063,3.61697607484256e-16,"Down in both",5.95129440539353
"SOX13",-2.71933951683714,0.00597824956540897,-1.36338403033773,3.58412795730383e-17,"Down in both",5.94962779247415
"SERPINB1",1.61561047723904,0.00192186262297285,1.79698703073,2.57974184390974e-23,"Up in both",5.94306764910688
"SLC37A2",-4.25724044909543,0.00100368044851315,-0.580359309405724,1.01643701933121e-08,"Down in both",5.93673216467774
"SLC39A8",4.10105149539651,0.000329353024417993,0.858137115639365,7.30400858160059e-07,"Up in both",5.9210663179691
"PRAG1",-2.05396247895616,0.000172231301755736,-1.24528976884211,4.01234396244458e-23,"Down in both",5.91530122376061
"BCL3",3.31693545316302,0.000201722958472516,0.776415710095718,3.07656647385444e-15,"Up in both",5.91406900005708
"SLC1A7",-4.15429227977881,0.00487872318231421,-0.930583684997296,1.10318183938602e-06,"Down in both",5.91178063668663
"PNMA6A",-4.0571784827604,0.00213001291840599,-0.807102825546952,2.87379398786769e-08,"Down in both",5.88559752137779
"ZC3H12A",3.99211238751566,0.000124092072453846,0.531184846994555,2.1543674774532e-10,"Up in both",5.88059085230546
"SEMA5A",-4.29218083810542,0.00205650704603568,-0.624376752345827,1.12179831826158e-07,"Down in both",5.88025309180748
"NFIL3",2.93860526704825,0.000357133035235438,0.943871413926487,3.40898681659254e-17,"Up in both",5.8739311463228
"MYO10",2.0147799702705,0.00400036628915217,1.76766267386465,3.6478440030503e-19,"Up in both",5.8660290424686
"HIVEP3",-3.69247736709389,0.000270592471370421,-0.761357225735594,2.90064969701292e-11,"Down in both",5.86435349356426
"PYHIN1",-3.31855188927721,0.00378597872573462,-1.14337483026938,2.49898847489269e-12,"Down in both",5.86433247730251
"JAKMIP2",-2.91787372661478,0.000170660524996913,-1.16844971580343,1.39288473030694e-14,"Down in both",5.84871861694806
"DNAH17",1.56512397613926,0.0044369320202516,1.65337544013006,1.45232080927178e-24,"Up in both",5.83758488277977
"SLC38A1",-2.63092471771592,0.000349835425496194,-1.07044828829717,1.39907664623286e-18,"Down in both",5.83240247673712
"SHANK1",-3.10976236095789,0.00304568248949955,-0.903757037419167,2.40941559813798e-16,"Down in both",5.82695976397778
"DIP2C",-2.58230192035426,0.000893146229589589,-1.21149961654305,5.51322883538903e-18,"Down in both",5.82456867808357
"SRGAP3",-3.28018243034197,0.000413805431756206,-1.0218456338121,2.59467792277334e-12,"Down in both",5.79894009978908
"NMI",2.3364913891372,0.00181300765541143,1.01527345675431,2.9350494296228e-22,"Up in both",5.77916334013445
"TNFRSF21",-2.72126804392238,0.00139239916847112,-1.14119580588654,5.36016285310329e-17,"Down in both",5.77516967581542
"PIK3C2B",-2.37367427914956,0.000837218396096602,-1.18063464320509,9.17765111087767e-20,"Down in both",5.7657518917142
"MCTP2",3.0299499584212,0.0371227976438398,1.01494441556667,2.04496381674639e-16,"Up in both",5.75686174137735
"IFI35",3.90212035783592,0.00040369736534209,0.76680103120896,3.37523340306589e-08,"Up in both",5.75548541649744
"PROK2",3.02063348207401,0.0150845884533748,1.25917386840859,1.72032916592753e-13,"Up in both",5.73839284865349
"SECTM1",3.72648561748287,0.000261899559149947,0.821265881344415,4.78506035824777e-09,"Up in both",5.73794928005935
"KREMEN1",2.39342029170293,0.0251780320854754,1.47556399083927,1.11304980781592e-17,"Up in both",5.72423064437786
"CD22",-3.60817159910791,0.000150440016211166,-0.948464450092839,1.63369184038557e-08,"Down in both",5.71758269805272
"CGAS",2.83057063519676,0.00301586205855823,0.824954204857927,9.56081801513052e-19,"Up in both",5.70953418752183
"IGF2BP3",3.10145283466782,0.00937997873368765,1.15868209439503,4.66817741194595e-13,"Up in both",5.69600000840319
"DOCK3",-3.22525994596376,0.000121043200290082,-0.893428810972633,1.67532972131619e-12,"Down in both",5.68798468785841
"RHOBTB2",-3.19986504403809,4.59261254882362e-05,-0.659750192167644,1.21137291263698e-14,"Down in both",5.68508146956852
"COLQ",-2.87218593222788,0.0104217501286858,-1.11990338031754,1.18956909417292e-15,"Down in both",5.68275627967298
"SLC22A4",2.02889629744725,0.000782633840862854,1.24079200958468,1.2611169110187e-21,"Up in both",5.67025690981544
"SIGLEC10",4.51170956479735,0.00527553253010546,0.579594179148434,0.000562213379972634,"Up in both",5.64408699570629
"MARCO",2.85095814741648,0.0314698511918443,1.44420707583784,1.13702597814819e-12,"Up in both",5.63979871559034
"MBOAT2",2.52112025222519,0.00516135859082398,1.07588309232816,7.42426003165514e-19,"Up in both",5.6386616237886
"PLD4",-1.33932110471991,0.0269667669268097,-1.9183509080903,6.08360876464187e-23,"Down in both",5.63617299696271
"MAOB",4.02311667558434,0.0155552715198663,0.671741111609013,5.4541240859018e-08,"Up in both",5.60199752614577
"CSF2RA",2.94693656610265,0.000205753931407336,0.861523700581754,7.09189804891644e-15,"Up in both",5.59204920409931
"SGK1",-3.83698349784012,7.06192385812005e-05,-0.672308195576617,2.51280041759834e-07,"Down in both",5.58438359079263
"ITGA3",-3.15600621716105,0.000200879196013463,-0.836965708907849,6.93237594495912e-13,"Down in both",5.57859021925653
"CLU",2.70390744649937,0.00683904853321189,1.33378361867419,6.01305611787732e-14,"Up in both",5.57628197090348
"GRB10",1.21427568197623,0.00931822408012246,2.08897391124731,2.08110875895297e-21,"Up in both",5.57448680052171
"DIRAS1",-4.19063337362261,0.000896618135287096,-0.555709180793153,7.39775498740114e-06,"Down in both",5.56417180819133
"GBP2",3.29906659073264,8.83712101571786e-05,0.76389065636362,1.57745950979426e-11,"Up in both",5.54853034480954
"SACS",-2.41410304875491,0.000608526937464345,-1.00523124281277,1.13091178838599e-18,"Down in both",5.53556343768254
"PDCD1LG2",2.9990194705691,0.000206564725126001,1.32312765168255,3.9304764591039e-09,"Up in both",5.53119698635935
"RNF175",3.67779216449499,0.000918637398119371,0.673524315156961,1.8688446139038e-09,"Up in both",5.52784474815342
"IFITM2",2.28674438099572,0.00267014514695356,1.22042394327794,2.72380882429109e-18,"Up in both",5.52099717503046
"NCR3LG1",-2.47565382487109,0.000213151942123574,-1.13619052698036,4.04008077994471e-16,"Down in both",5.51833641757027
"LGALS9B",-3.2180990408636,0.0469549064385244,-1.25467915610521,7.81230586573392e-10,"Down in both",5.51633217518176
"C3AR1",1.68142092331841,0.00457719699418362,1.7499009655004,4.00785992388426e-19,"Up in both",5.50497067497394
"CKAP4",1.77659242512266,0.00135158917651502,1.59628514302758,3.81266811793042e-19,"Up in both",5.50167019734006
"ATG9B",-2.89457665806229,0.00915355303380061,-0.936331504728687,2.79376919136151e-15,"Down in both",5.49013014020107
"MYBPH",-3.10532033190862,0.00114987004488063,-1.20015001607155,1.44855026747445e-09,"Down in both",5.48331211487777
"RADX",-2.98692637704732,0.00173823506629568,-0.903768827273472,9.87855554774928e-14,"Down in both",5.46721500900324
"PARP9",3.3709438623935,0.000325514674812737,0.689420734654192,3.8397703710186e-11,"Up in both",5.45067701451983
"THNSL1",-3.05658520678541,0.0010634732191969,-0.809168516250512,1.37879801566675e-13,"Down in both",5.4491310022848
"BNC2",-3.38958277282246,0.00359031979165565,-0.926306455143907,1.301800601574e-09,"Down in both",5.44892146786292
"SLC25A28",3.06456476159175,0.000205349403910367,0.697572601420154,6.86854838116904e-14,"Up in both",5.4472015221892
"ALDH5A1",-3.69244252033886,0.000166826079533062,-0.668094915649444,9.6838448767193e-08,"Down in both",5.43970625920655
"CD44",2.60754159037871,0.00015599649428404,0.924830585812058,6.10199140583585e-16,"Up in both",5.43451353317243
"C1QA",2.20279048748856,0.000413805431756206,1.75562925960432,4.56718659239594e-12,"Up in both",5.43077525287896
"MAOA",2.23361751699118,0.00151764829024484,1.85911227052118,2.85377630629905e-11,"Up in both",5.42907068102795
"ELOVL3",2.77838368417371,0.0314500780857847,1.03972542051874,2.92679083195242e-15,"Up in both",5.42170776328999
"TPM2",-3.12799572037479,0.00015599649428404,-0.911340709581113,1.03032353744909e-10,"Down in both",5.41872758397402
"PFAS",-2.55672511603308,0.000285124224561472,-0.878850788838285,8.42773878976001e-17,"Down in both",5.39750138649821
"ZBED3",-1.92791183155791,0.00164775551642381,-1.09468781641649,1.10670063275117e-21,"Down in both",5.39650735472279
"TM4SF19",-4.12735575679058,0.000232852986565824,-0.512631247911551,0.000122782781263172,"Down in both",5.39436507677176
