"SYMBOL","LPS_logFC","LPS_adjP","LPS_regulation","Sepsis_logFC","Sepsis_adjP","Sepsis_regulation","LPS_sig","Sepsis_sig","both_sig","same_direction","overlap_class"
"ANKS3",-0.227562106172495,0.400958535759176,"Not significant",-0.578491662517023,1.85147933011877e-11,"Down",FALSE,TRUE,FALSE,TRUE,"Sepsis significant only"
"PIK3R4",-0.126754861929063,0.400998380911416,"Not significant",-0.304605786207888,1.90273917539352e-11,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"PARM1",-0.281518163282882,0.401190739023916,"Not significant",-0.931189094102577,6.1791046037232e-10,"Down",FALSE,TRUE,FALSE,TRUE,"Sepsis significant only"
"VIRMA",-0.146214214170324,0.401287498582332,"Not significant",-0.100650193809943,0.00200938630534347,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"ASB8",-0.145835697801654,0.401287498582332,"Not significant",0.341406471253886,1.07816875533274e-11,"Not significant",FALSE,FALSE,FALSE,FALSE,"Not significant in either"
"ALG10",-0.239154599899634,0.401362459991528,"Not significant",-0.0749300628588659,0.402326470782906,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"CAAP1",-0.146448720374749,0.401409891750049,"Not significant",-0.40584553656908,2.38690162584225e-10,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"CAPN15",-0.142366950838841,0.401433596390074,"Not significant",-0.499628098636821,4.91601688859701e-10,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"C1ORF159",-0.174496210976994,0.401457016040753,"Not significant",-0.434584659709308,4.59172786909639e-09,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"PHC3",0.230665523337319,0.401778510768464,"Not significant",-0.270663104022044,1.59580903192162e-05,"Not significant",FALSE,FALSE,FALSE,FALSE,"Not significant in either"
"WDR26",-0.26346874621457,0.40199802253139,"Not significant",0.335415225482045,6.08479752366145e-09,"Not significant",FALSE,FALSE,FALSE,FALSE,"Not significant in either"
"ADGRE3",0.862795228631399,0.402035309887804,"Not significant",-0.724461789962181,1.36938408563702e-06,"Down",FALSE,TRUE,FALSE,FALSE,"Sepsis significant only"
"PIGT",-0.122762689834745,0.402383568320034,"Not significant",0.0406360732345749,0.497976430722669,"Not significant",FALSE,FALSE,FALSE,FALSE,"Not significant in either"
"MYOM1",0.243119172848738,0.402383568320034,"Not significant",0.0252553098689351,0.838854973776005,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"HMGN3",0.280169759719924,0.40254094279858,"Not significant",-0.221366532232277,0.00192891782305991,"Not significant",FALSE,FALSE,FALSE,FALSE,"Not significant in either"
"TLCD2",0.256368837310096,0.402935618617392,"Not significant",0.170816543533042,0.122340356422065,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"NUCB1",0.160208582684449,0.40310898943307,"Not significant",0.707323791103519,1.77223342214318e-10,"Up",FALSE,TRUE,FALSE,TRUE,"Sepsis significant only"
"IDS",0.192670302066048,0.403226324795514,"Not significant",-0.135164733328989,0.0301806968404797,"Not significant",FALSE,FALSE,FALSE,FALSE,"Not significant in either"
"SERPINF1",0.411981923297448,0.40336454019585,"Not significant",-0.652628780723898,2.81301619753663e-09,"Down",FALSE,TRUE,FALSE,FALSE,"Sepsis significant only"
"FAF2",0.153089317415101,0.403954657473701,"Not significant",0.0357833024561611,0.317354101143692,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"RAB20",-0.219421699865333,0.403954657473701,"Not significant",1.49841973499856,1.25311055796543e-15,"Up",FALSE,TRUE,FALSE,FALSE,"Sepsis significant only"
"PSMD14",-0.126615835105743,0.404046272077729,"Not significant",0.359824857383897,2.26609621612634e-06,"Not significant",FALSE,FALSE,FALSE,FALSE,"Not significant in either"
"SNAPIN",-0.175318498617867,0.404068244391716,"Not significant",0.551867031126946,9.7026080912882e-14,"Up",FALSE,TRUE,FALSE,FALSE,"Sepsis significant only"
"IFT27",-0.353644535621214,0.40494132386984,"Not significant",-0.0375899406751241,0.630710242023627,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"CSK",-0.125224916722817,0.405195883378611,"Not significant",0.352421697247064,1.56026825936451e-07,"Not significant",FALSE,FALSE,FALSE,FALSE,"Not significant in either"
"SLFN13",-0.33025258776761,0.405663945645897,"Not significant",-0.520824150246764,2.64189118297014e-07,"Down",FALSE,TRUE,FALSE,TRUE,"Sepsis significant only"
"TCEANC",-0.274406701202219,0.405750007290414,"Not significant",0.124374882570747,0.0195168012902128,"Not significant",FALSE,FALSE,FALSE,FALSE,"Not significant in either"
"ULK4",-0.230588491548611,0.405821499727949,"Not significant",-0.230644577276853,0.00117122534234352,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"PRDX3",-0.176253435849568,0.40607939610027,"Not significant",0.562942242268836,1.08083194755837e-15,"Up",FALSE,TRUE,FALSE,FALSE,"Sepsis significant only"
"RAB28",-0.188143421010225,0.40607939610027,"Not significant",0.15563448658293,0.0203786571349474,"Not significant",FALSE,FALSE,FALSE,FALSE,"Not significant in either"
"SETD1A",-0.137723574976217,0.406284595314463,"Not significant",-0.693629294083449,7.39541033107403e-16,"Down",FALSE,TRUE,FALSE,TRUE,"Sepsis significant only"
"GAB1",0.22910438942388,0.406669757109351,"Not significant",-0.0637652158010252,0.501612221886394,"Not significant",FALSE,FALSE,FALSE,FALSE,"Not significant in either"
"LTBP2",0.830603259129345,0.406800489382805,"Not significant",0.198408721721752,0.0929996766699013,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"CREG2",-0.61291537718689,0.406893947039491,"Not significant",0.0581404367687688,0.510257909003549,"Not significant",FALSE,FALSE,FALSE,FALSE,"Not significant in either"
"JKAMP",0.123922126490195,0.407030899985822,"Not significant",0.633986759985962,6.10166732370465e-15,"Up",FALSE,TRUE,FALSE,TRUE,"Sepsis significant only"
"MAPK1IP1L",0.123324782066641,0.40703812280856,"Not significant",0.0817513147120682,0.0448565886618635,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"FAM199X",-0.145262686872521,0.40703812280856,"Not significant",-0.0549976679054257,0.404719384970503,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"ARL11",0.238232660917004,0.407112587175665,"Not significant",0.91230118585842,6.48432254709797e-18,"Up",FALSE,TRUE,FALSE,TRUE,"Sepsis significant only"
"DLG2",0.471138985021701,0.40729031083704,"Not significant",-0.254588775709698,0.000106419127585868,"Not significant",FALSE,FALSE,FALSE,FALSE,"Not significant in either"
"CSF1R",0.495860560016854,0.407387551663817,"Not significant",-0.56441620196325,4.10043951601497e-06,"Down",FALSE,TRUE,FALSE,FALSE,"Sepsis significant only"
"RNPS1",-0.203380157338804,0.407657828393765,"Not significant",-0.227575558668686,1.90627732984097e-06,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"MAP1S",-0.211986727949142,0.408387312083023,"Not significant",0.260168332787959,0.000542481586954233,"Not significant",FALSE,FALSE,FALSE,FALSE,"Not significant in either"
"BRD3OS",0.472877470363001,0.408474029913022,"Not significant",-0.375702296860918,1.69399464159834e-11,"Not significant",FALSE,FALSE,FALSE,FALSE,"Not significant in either"
"ZNF600",-0.335354231928694,0.408474029913022,"Not significant",-0.91471390847748,2.35997369879915e-14,"Down",FALSE,TRUE,FALSE,TRUE,"Sepsis significant only"
"EGFR",0.356301762700151,0.40858035604142,"Not significant",0.0379220263118352,0.182999633102634,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"CCL22",0.551848258507807,0.40858035604142,"Not significant",-0.0374445969855087,0.446768474528558,"Not significant",FALSE,FALSE,FALSE,FALSE,"Not significant in either"
"SNRNP70",-0.1310397542859,0.408593342638658,"Not significant",-0.168827231294022,0.000368541086248699,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"ATP11A",0.182196878410155,0.408593342638658,"Not significant",0.292092207196473,0.000481781138227635,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"GXYLT1",0.157545796814565,0.409063448493854,"Not significant",0.0648936367628124,0.294743550937795,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"MANEA",-0.23652745152267,0.409388813115163,"Not significant",-0.464087600172968,3.207274572157e-05,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"MPZL2",-0.697945911003016,0.409988276075383,"Not significant",-0.276421818491541,0.0475186596039505,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"NDOR1",0.18249585340555,0.410189740483168,"Not significant",0.0627302550293782,0.265338353458469,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"WDFY3",0.26783404693712,0.410452695327942,"Not significant",0.713277338542918,4.52235963433587e-10,"Up",FALSE,TRUE,FALSE,TRUE,"Sepsis significant only"
"LRRC37A",0.173662426957748,0.410534205915218,"Not significant",0.110225352458146,0.283970268053806,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"BCL6",0.368958650584573,0.411370044526717,"Not significant",1.19861280500778,4.73652704271893e-20,"Up",FALSE,TRUE,FALSE,TRUE,"Sepsis significant only"
"GCNT7",0.52619882939906,0.411410453575943,"Not significant",0.146404654154693,0.0172498307429212,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"HAS2",0.503173925001615,0.411410453575943,"Not significant",0.00246558849604516,0.429367348010684,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"GLA",0.21943835593497,0.411420446999525,"Not significant",0.802575036040618,6.74602874616436e-19,"Up",FALSE,TRUE,FALSE,TRUE,"Sepsis significant only"
"GAPDH",0.273946195823594,0.411606775456961,"Not significant",1.14892258138612,2.51605666492879e-23,"Up",FALSE,TRUE,FALSE,TRUE,"Sepsis significant only"
"FAM161B",0.243368968515311,0.411770295333845,"Not significant",-0.331457931534251,1.85154452823997e-09,"Not significant",FALSE,FALSE,FALSE,FALSE,"Not significant in either"
"ZNF414",0.173795664642144,0.41236480103757,"Not significant",0.0358753787573912,0.607149718151111,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"PRIM1",-0.243597658457945,0.412468583164904,"Not significant",-0.167471438101997,0.0431476646937361,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"KDELR1",-0.126628506689195,0.412558062584577,"Not significant",0.24873582516256,2.72899961920755e-05,"Not significant",FALSE,FALSE,FALSE,FALSE,"Not significant in either"
"AKR1C3",0.571888359285664,0.412767326640261,"Not significant",0.014219073369104,0.977915179803096,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"CCBE1",0.635773711493159,0.413243056128964,"Not significant",-0.0137932795484125,0.458594880848112,"Not significant",FALSE,FALSE,FALSE,FALSE,"Not significant in either"
"BLCAP",-0.154702832517649,0.413253924146984,"Not significant",-0.199467766111971,1.65074672802455e-12,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"PXK",0.345664043630357,0.413503895641558,"Not significant",0.613618752677361,8.45317230937019e-13,"Up",FALSE,TRUE,FALSE,TRUE,"Sepsis significant only"
"SRPX2",0.487656101608052,0.413916280756278,"Not significant",-0.00516332065083271,0.793822610334628,"Not significant",FALSE,FALSE,FALSE,FALSE,"Not significant in either"
"MAP7D1",0.153345792797878,0.414000230495987,"Not significant",0.00689517248193611,0.979217708716419,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"SYT12",0.38166835806969,0.414012148622647,"Not significant",0.0199757953272581,0.00203766649673886,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"SCAMP3",-0.161659855001511,0.414630280298681,"Not significant",-0.236631150526604,2.56538679301002e-05,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"RPP25L",0.16861379484062,0.414630280298681,"Not significant",0.272814930571633,1.58928812830188e-05,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"SUPT16H",-0.136302425239421,0.414660036730466,"Not significant",-0.250608420077574,1.32964786507294e-08,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"TMEM8B",-0.522336041919869,0.414824027562338,"Not significant",-0.896823101410208,1.74706430708711e-16,"Down",FALSE,TRUE,FALSE,TRUE,"Sepsis significant only"
"ARPC4-TTLL3",0.307339325279929,0.414831306485784,"Not significant",0.171255450003164,0.119436451174184,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"STAR",0.612598474330192,0.414873893014176,"Not significant",0.101789661051001,0.0197941647578386,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"MAPK3",-0.426914160937132,0.41497510008426,"Not significant",0.596729390037711,3.64869856044586e-11,"Up",FALSE,TRUE,FALSE,FALSE,"Sepsis significant only"
"KRTCAP3",0.443929732319362,0.415242627801936,"Not significant",0.100859256497207,0.0782789287794444,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"ZNF276",0.14108164465313,0.415456447388973,"Not significant",0.0143578846114556,0.806743121489997,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"EIF4G3",-0.410218072690138,0.416008136654876,"Not significant",0.371318525346266,1.10487476832769e-07,"Not significant",FALSE,FALSE,FALSE,FALSE,"Not significant in either"
"GPR22",0.470833041010003,0.416013806057,"Not significant",0.00022050580554685,0.846446361301667,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"TBC1D19",-0.271472784757799,0.416340086477001,"Not significant",-0.612728573287927,7.52246991009698e-10,"Down",FALSE,TRUE,FALSE,TRUE,"Sepsis significant only"
"SEC24B",-0.124817227303333,0.416340086477001,"Not significant",-0.0565954961701648,0.204808895655717,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"SH3BP4",-0.33197915083694,0.416518580654334,"Not significant",-0.905671656469475,3.08387620105515e-15,"Down",FALSE,TRUE,FALSE,TRUE,"Sepsis significant only"
"GPRASP1",-0.268704132276709,0.417097383328162,"Not significant",-1.47574687132575,1.31132774117356e-21,"Down",FALSE,TRUE,FALSE,TRUE,"Sepsis significant only"
"PSMD13",0.142472959263304,0.417466615791762,"Not significant",0.47198280702091,1.59169151950604e-18,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"SUMO3",0.159518255818242,0.417490933963299,"Not significant",0.248000810453254,2.26166775693373e-07,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"EDNRB",1.04890364640544,0.417908123226276,"Not significant",1.76541550128784,1.7731605225621e-17,"Up",FALSE,TRUE,FALSE,TRUE,"Sepsis significant only"
"C19ORF44",-0.340921261995541,0.418115539339501,"Not significant",-0.376657345539647,1.34718020935754e-09,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"BSN",0.29589858751467,0.418115835165297,"Not significant",-0.237875176027318,0.000871411690901077,"Not significant",FALSE,FALSE,FALSE,FALSE,"Not significant in either"
"MEDAG",0.460871108253797,0.418721904155312,"Not significant",0.35582083260267,5.47258309530183e-06,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"AP4M1",-0.330119654160236,0.418920211253792,"Not significant",0.0114010415963986,0.880467706104304,"Not significant",FALSE,FALSE,FALSE,FALSE,"Not significant in either"
"EFCAB7",0.287516110706228,0.418920211253792,"Not significant",-0.0702191696392753,0.574754574350295,"Not significant",FALSE,FALSE,FALSE,FALSE,"Not significant in either"
"MYL6",-0.123323645406149,0.418920211253792,"Not significant",1.44841951651405,2.64210266654274e-18,"Up",FALSE,TRUE,FALSE,FALSE,"Sepsis significant only"
"SLC5A10",-0.790581760549361,0.419035980392686,"Not significant",-0.535677348206429,1.64673224484472e-08,"Down",FALSE,TRUE,FALSE,TRUE,"Sepsis significant only"
"RNASE2",1.04305293928478,0.41927912104387,"Not significant",2.33387791435306,3.48937885003224e-21,"Up",FALSE,TRUE,FALSE,TRUE,"Sepsis significant only"
"PCK2",-0.221008297724575,0.419578774207676,"Not significant",0.0227268651705518,0.802627271751907,"Not significant",FALSE,FALSE,FALSE,FALSE,"Not significant in either"
"FUT2",-0.788234925899008,0.420207370876138,"Not significant",-0.217738193082384,1.93302361468817e-06,"Not significant",FALSE,FALSE,FALSE,TRUE,"Not significant in either"
"ANKUB1",0.369861487891787,0.421809103522662,"Not significant",-0.120068624834386,0.274884346937474,"Not significant",FALSE,FALSE,FALSE,FALSE,"Not significant in either"
