"ensembl_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID","GENENAME","gene_label","regulation"
"ENSG00000285413",2.70857129149582,-3.51747065058275,2.31167528337662,0.0569866485022849,0.103564701567555,-4.11785773364352,"LOC105377139","105377139","uncharacterized LOC105377139","LOC105377139","Not significant"
"ENSG00000162722",-0.87484203825287,1.06283473783267,-2.31147485911368,0.0570028845725994,0.103584234746107,-4.89891650323768,"TRIM58","25893","tripartite motif containing 58","TRIM58","Not significant"
"ENSG00000258944",-0.59268757076805,-0.061035676039138,-2.31080615103794,0.0570570900492882,0.103672754589942,-4.70654591059639,NA,NA,NA,"ENSG00000258944","Not significant"
"ENSG00000125810",1.52820003565007,1.56571982759254,2.310275794911,0.0571001184186728,0.10373739163561,-5.06983979405078,"CD93","22918","CD93 molecule","CD93","Not significant"
"ENSG00000152944",0.396670013930433,2.51875423400362,2.31023221508433,0.0571036555811384,0.10373739163561,-5.20783983595465,"MED21","9412","mediator complex subunit 21","MED21","Not significant"
"ENSG00000138613",0.593407459918972,4.05954202161309,2.30935813049451,0.0571746483886006,0.103856364963414,-5.45208323339271,"APH1B","83464","aph-1B gamma-secretase subunit","APH1B","Not significant"
"ENSG00000278996",0.876805945110238,0.417926875445663,2.30903874634734,0.0572006112840585,0.103893527519881,-4.79768925175791,NA,NA,NA,"ENSG00000278996","Not significant"
"ENSG00000282458",0.363740703510362,3.23277476363674,2.30866719093595,0.0572308304670327,0.103938412880327,-5.34627679550305,NA,NA,NA,"ENSG00000282458","Not significant"
"ENSG00000254531",0.801883571464156,0.274137225695803,2.30817836954211,0.0572706120885925,0.104000654528784,-4.77183489072872,"PPP3CA-DT","90024","PPP3CA divergent transcript","PPP3CA-DT","Not significant"
"ENSG00000185090",0.70279595966868,4.05994393211172,2.307916754045,0.0572919147554185,0.104029330544351,-5.44750044017856,"MANEAL","149175","mannosidase endo-alpha like","MANEAL","Not significant"
"ENSG00000181904",-0.312634666061677,3.94342862217856,-2.30778602096362,0.0573025630623352,0.104038656964369,-5.44253272645335,"C5orf24","134553","chromosome 5 open reading frame 24","C5orf24","Not significant"
"ENSG00000077312",-0.499188251026058,4.32179632970351,-2.30713524920641,0.0573555991976728,0.104124933620859,-5.47454753993537,"SNRPA","6626","small nuclear ribonucleoprotein polypeptide A","SNRPA","Not significant"
"ENSG00000180992",0.34469408550933,3.86395402715972,2.30668133474223,0.0573926218792957,0.104182125213667,-5.44075264205606,"MRPL14","64928","mitochondrial ribosomal protein L14","MRPL14","Not significant"
"ENSG00000196378",-0.492029721202532,1.13465008396201,-2.30657235201942,0.0574015145085631,0.104188247557374,-4.92473650295506,"ZNF34","80778","zinc finger protein 34","ZNF34","Not significant"
"ENSG00000213149",-0.854516959585663,-1.42780773893119,-2.30639950185914,0.0574156214150122,0.104203832135419,-4.42477154122163,NA,NA,NA,"ENSG00000213149","Not significant"
"ENSG00000147036",-0.547947778001665,0.822991187634807,-2.30597138298927,0.0574505770461486,0.104257248509379,-4.89100674006744,"LANCL3","347404","LanC like family member 3","LANCL3","Not significant"
"ENSG00000182923",-0.298653437518009,3.44168583245725,-2.3056775328008,0.0574745823897559,0.104290784715117,-5.37858856199533,"CEP63","80254","centrosomal protein 63","CEP63","Not significant"
"ENSG00000071246",-1.02573922100689,7.35290392729991,-2.30542175084168,0.0574954862422743,0.104318687188592,-5.50807430278398,"VASH1","22846","vasohibin 1","VASH1","Not significant"
"ENSG00000279863",0.671134018003503,-0.324724370603214,2.30534891085416,0.0575014405407054,0.104319462726434,-4.67243893980689,NA,NA,NA,"ENSG00000279863","Not significant"
"ENSG00000006837",-1.16616195451038,-1.80992434186306,-2.3044134969763,0.0575779622427138,0.104448249623376,-4.33169001920527,"CDKL3","51265","cyclin dependent kinase like 3","CDKL3","Not significant"
"ENSG00000113790",0.847707567329,3.18050301112451,2.30404694661318,0.0576079765070947,0.104490492835851,-5.34108384026298,"EHHADH","1962","enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase","EHHADH","Not significant"
"ENSG00000232803",-2.32635401941022,-4.05918504846799,-2.30399390554968,0.0576123210035866,0.104490492835851,-3.95145898364039,"SLCO4A1-AS1","100127888","SLCO4A1 antisense RNA 1","SLCO4A1-AS1","Not significant"
"ENSG00000250091",-0.958508378329677,0.0587039337124726,-2.30334623926965,0.0576653973401327,0.104576707801211,-4.72161091728035,"DNAH10OS","642797","dynein axonemal heavy chain 10 opposite strand","DNAH10OS","Not significant"
"ENSG00000077942",0.709780339395676,-0.580464698707405,2.30290148720088,0.0577018739405437,0.10462109576109,-4.61704648427652,"FBLN1","2192","fibulin 1","FBLN1","Not significant"
"ENSG00000099942",0.57451277912425,6.39704280923991,2.30289437614273,0.0577024573507472,0.10462109576109,-5.5192964283466,"CRKL","1399","CRK like proto-oncogene, adaptor protein","CRKL","Not significant"
"ENSG00000272906",0.968650972740145,-2.11268082248357,2.30284507708293,0.0577065021440373,0.10462109576109,-4.29474195010194,NA,NA,NA,"ENSG00000272906","Not significant"
"ENSG00000180846",1.37408753576779,-1.35859070847501,2.30253550037516,0.0577319083538501,0.104657104319912,-4.46654964405398,"CSNK1G2-AS1","255193","CSNK1G2 antisense RNA 1","CSNK1G2-AS1","Not significant"
"ENSG00000236325",1.58363994542583,-4.0466050457283,2.30204174654642,0.0577724533303083,0.104717266355613,-4.04340888499945,NA,NA,NA,"ENSG00000236325","Not significant"
"ENSG00000183878",0.452258920929323,-0.0967459524718358,2.30199624308256,0.0577761913550918,0.104717266355613,-5.1630362969666,"UTY","7404","ubiquitously transcribed tetratricopeptide repeat containing, Y-linked","UTY","Not significant"
"ENSG00000141480",-0.588398804640505,7.70182001198085,-2.30192018189864,0.0577824401947684,0.104718536598776,-5.51009285651289,"ARRB2","409","arrestin beta 2","ARRB2","Not significant"
"ENSG00000144406",-1.17801560469858,-2.30981378631155,-2.30116389998774,0.0578446106722525,0.104821143091279,-4.23849222171194,"UNC80","285175","unc-80 subunit of NALCN channel complex","UNC80","Not significant"
"ENSG00000163798",0.275284564079869,4.87466513454999,2.30038771106818,0.0579084891105796,0.104926824609983,-5.52035734334039,"SLC4A1AP","22950","solute carrier family 4 member 1 adaptor protein","SLC4A1AP","Not significant"
"ENSG00000196505",-0.31244943520233,4.63486671196587,-2.30009789028671,0.0579323592340296,0.104960000052055,-5.50804395269187,"GDAP2","54834","ganglioside induced differentiation associated protein 2","GDAP2","Not significant"
"ENSG00000064607",-0.274658433640802,5.48266569312338,-2.29961621081574,0.0579720535318538,0.105021836108431,-5.52825535190357,"SUGP2","10147","SURP and G-patch domain containing 2","SUGP2","Not significant"
"ENSG00000238258",-0.906830905382375,-0.610895426205806,-2.29929321734597,0.0579986864703431,0.105060000684043,-4.59335193340912,NA,NA,NA,"ENSG00000238258","Not significant"
"ENSG00000186019",-1.96019487037483,-2.62664767489283,-2.29909643782022,0.058014918401734,0.105079319147177,-4.204728914428,"ZNF225-AS1","100379224","ZNF225 and ZNF224 antisense RNA 1","ZNF225-AS1","Not significant"
"ENSG00000174606",0.393484901431286,3.50040979706056,2.29896859441399,0.0580254664385672,0.105088339956626,-5.40303584561217,"ANGEL2","90806","angel homolog 2","ANGEL2","Not significant"
"ENSG00000159409",1.58851298803785,-2.58528587920768,2.29834910897401,0.0580766065390724,0.105170867161565,-4.19600028799557,"CELF3","11189","CUGBP Elav-like family member 3","CELF3","Not significant"
"ENSG00000158195",-0.298023982355375,8.38842384312331,-2.2982362740842,0.0580859263318946,0.105177653445367,-5.51212604366646,"WASF2","10163","WASP family member 2","WASF2","Not significant"
"ENSG00000108774",-0.371974958342285,7.27428481357732,-2.29806361518968,0.058100190367067,0.105193390232939,-5.51829336612254,"RAB5C","5878","RAB5C, member RAS oncogene family","RAB5C","Not significant"
"ENSG00000187838",0.530214259040666,3.90321938713746,2.29785775337292,0.0581172021315492,0.105214098430174,-5.45528009014719,"PLSCR3","57048","phospholipid scramblase 3","PLSCR3","Not significant"
"ENSG00000099864",1.01442215748037,-2.53880060783014,2.29723912684275,0.0581683542639287,0.105296603695373,-4.22461401460765,"PALM","5064","paralemmin","PALM","Not significant"
"ENSG00000058091",0.622317344152466,5.29773940212144,2.29703819235369,0.0581849788077206,0.105316597141899,-5.53239300066537,"CDK14","5218","cyclin dependent kinase 14","CDK14","Not significant"
"ENSG00000092199",0.26843741718739,7.79040532342133,2.29638957923108,0.0582386758748034,0.10539403153023,-5.51686884597564,"HNRNPC","3183","heterogeneous nuclear ribonucleoprotein C","HNRNPC","Not significant"
"ENSG00000119729",0.318654488875983,6.62991802508176,2.29638654619438,0.0582389270919364,0.10539403153023,-5.52638343036731,"RHOQ","23433","ras homolog family member Q","RHOQ","Not significant"
"ENSG00000158473",0.687735061686234,0.642548367106034,2.2961120088155,0.0582616707935529,0.105425082564309,-4.85441180263028,"CD1D","912","CD1d molecule","CD1D","Not significant"
"ENSG00000120306",-0.267655595888559,5.48505238150588,-2.29548728144004,0.0583134595579975,0.105508679942217,-5.53483259373732,"CYSTM1","84418","cysteine rich transmembrane module containing 1","CYSTM1","Not significant"
"ENSG00000181991",-0.328370863820673,3.61858609384985,-2.29448612671841,0.0583965521124509,0.105648894960463,-5.42003787219904,"MRPS11","64963","mitochondrial ribosomal protein S11","MRPS11","Not significant"
"ENSG00000067057",0.557266944365086,6.46155176603543,2.29419535549868,0.0584207079552666,0.10568246718954,-5.53117744456722,"PFKP","5214","phosphofructokinase, platelet","PFKP","Not significant"
"ENSG00000230022",1.30909689481634,-2.99049013318776,2.29306113970455,0.0585150311748993,0.105836874034152,-4.21462571391226,NA,NA,NA,"ENSG00000230022","Not significant"
"ENSG00000177868",0.401214662096624,1.96589030879877,2.29303414811111,0.0585172777441276,0.105836874034152,-5.12238421570391,"SVBP","374969","small vasohibin binding protein","SVBP","Not significant"
"ENSG00000242960",0.793560641633357,-0.182469889518224,2.29255999118684,0.0585567573109585,0.105898131095558,-4.70595587498927,NA,NA,NA,"ENSG00000242960","Not significant"
"ENSG00000182087",0.262808256482093,7.33397397604378,2.29233772979413,0.0585752728024569,0.105921182196308,-5.52566206495372,"TMEM259","91304","transmembrane protein 259","TMEM259","Not significant"
"ENSG00000090432",-0.268852576231703,5.08860212074524,-2.29227227169263,0.0585807269376033,0.105921182196308,-5.53411386634213,"MUL1","79594","mitochondrial E3 ubiquitin protein ligase 1","MUL1","Not significant"
"ENSG00000119321",-0.274221075497172,8.00438420709233,-2.29193105683234,0.058609166273142,0.105962453391337,-5.52256462162302,"FKBP15","23307","FKBP prolyl isomerase family member 15","FKBP15","Not significant"
"ENSG00000163923",-0.658770124696357,-0.561187715993882,-2.29158979075689,0.0586376240609227,0.106003750038303,-4.62345841451352,"RPL39L","116832","ribosomal protein L39 like","RPL39L","Not significant"
"ENSG00000149179",-0.383780279838799,2.33308556866725,-2.29151043133938,0.0586442437855387,0.106005564207244,-5.19217417573615,"CSTPP1","79096","centriolar satellite-associated tubulin polyglutamylase complex regulator 1","CSTPP1","Not significant"
"ENSG00000177485",-0.520737236534809,4.46933053965629,-2.29112972471938,0.0586760109047793,0.106046340992652,-5.50821479840153,"ZBTB33","10009","zinc finger and BTB domain containing 33","ZBTB33","Not significant"
"ENSG00000259158",0.944986219800145,-1.90690564009604,2.29110542711745,0.0586780389577356,0.106046340992652,-4.44368294053253,NA,NA,NA,"ENSG00000259158","Not significant"
