"probe_id","symbol_raw","SYMBOL"
"1552468_a_at","DSCR10","DSCR10"
"1552470_a_at","ABHD11","ABHD11"
"1552472_a_at","ACAP2","ACAP2"
"1552473_at","GAMT","GAMT"
"1552474_a_at","GAMT","GAMT"
"1552476_s_at","PLCD3","PLCD3"
"1552477_a_at","IRF6","IRF6"
"1552478_a_at","IRF6","IRF6"
"1552480_s_at","PTPRC","PTPRC"
"1552481_s_at","MAN1A2","MAN1A2"
"1552482_at","RAPH1","RAPH1"
"1552484_at","SMCR8","SMCR8"
"1552485_at","LACTB","LACTB"
"1552486_s_at","LACTB","LACTB"
"1552487_a_at","BNC1","BNC1"
"1552489_s_at","MPP4","MPP4"
"1552490_at","LACE1","LACE1"
"1552491_at","IDI2","IDI2"
"1552493_s_at","CYP11B1","CYP11B1"
"1552494_at","TAF8","TAF8"
"1552496_a_at","COBL","COBL"
"1552497_a_at","SLAMF6","SLAMF6"
"1552498_at","ZSCAN20","ZSCAN20"
"1552499_a_at","ZSCAN20","ZSCAN20"
"1552501_a_at","GPBAR1","GPBAR1"
"1552502_s_at","RHBDL2","RHBDL2"
"1552503_at","FRAS1","FRAS1"
"1552504_a_at","BRSK1","BRSK1"
"1552506_at","CRB2","CRB2"
"1552507_at","KCNE4","KCNE4"
"1552508_at","KCNE4","KCNE4"
"1552509_a_at","CD300LG","CD300LG"
"1552510_at","SLC34A3","SLC34A3"
"1552511_a_at","CPA6","CPA6"
"1552514_at","WBP2NL","WBP2NL"
"1552515_at","HIPK1","HIPK1"
"1552516_a_at","HIPK1","HIPK1"
"1552518_s_at","MTBP","MTBP"
"1552519_at","ACVR1C","ACVR1C"
"1552520_at","TMEM74","TMEM74"
"1552521_a_at","TMEM74","TMEM74"
"1552522_at","TIGD4","TIGD4"
"1552523_a_at","TIGD4","TIGD4"
"1552524_at","ART5","ART5"
"1552526_at","FAM71C","FAM71C"
"1552528_at","LINC01547","LINC01547"
"1552531_a_at","NLRP11","NLRP11"
"1552532_a_at","ATP6V1C2","ATP6V1C2"
"1552535_at","CLDN19","CLDN19"
"1552536_at","VTI1A","VTI1A"
"1552538_a_at","KIF6","KIF6"
"1552540_s_at","IQCD","IQCD"
"1552541_at","TAGAP","TAGAP"
"1552542_s_at","TAGAP","TAGAP"
"1552543_a_at","STON2","STON2"
"1552544_at","SERPINA12","SERPINA12"
"1552546_a_at","LETM2","LETM2"
"1552548_at","BSND","BSND"
"1552549_a_at","BSND","BSND"
"1552552_s_at","CLEC4C","CLEC4C"
"1552553_a_at","NLRC4","NLRC4"
"1552554_a_at","NLRC4","NLRC4"
"1552555_at","PRSS36","PRSS36"
"1552557_a_at","ZDHHC15","ZDHHC15"
"1552558_a_at","RAI1","RAI1"
"1552559_a_at","CDK15","CDK15"
"1552562_at","ZNF570","ZNF570"
"1552564_at","NUDT9P1","NUDT9P1"
"1552566_at","BTBD16","BTBD16"
"1552568_at","RTP3","RTP3"
"1552569_a_at","RTP3","RTP3"
"1552570_at","TSPEAR","TSPEAR"
"1552572_a_at","MIPOL1","MIPOL1"
"1552573_s_at","MIPOL1","MIPOL1"
"1552575_a_at","C6orf141","C6ORF141"
"1552576_at","ALMS1P1","ALMS1P1"
"1552578_a_at","MYO3B","MYO3B"
"1552579_a_at","ADAM21","ADAM21"
"1552580_at","TRIML2","TRIML2"
"1552582_at","ABCC13","ABCC13"
"1552583_s_at","ABCC13","ABCC13"
"1552584_at","IL12RB1","IL12RB1"
"1552585_s_at","GTF2A1L","GTF2A1L"
"1552586_at","TRPV3","TRPV3"
"1552587_at","CNBD1","CNBD1"
"1552588_a_at","CNBD1","CNBD1"
"1552590_a_at","ABCC12","ABCC12"
"1552592_at","MMP21","MMP21"
"1552594_at","TMEM190","TMEM190"
"1552596_at","GAS2L2","GAS2L2"
"1552598_at","KCNG4","KCNG4"
"1552599_at","PXT1","PXT1"
"1552602_at","CACNG5","CACNG5"
"1552604_at","LINC00308","LINC00308"
"1552605_s_at","LINC00308","LINC00308"
"1552607_at","FAM223A///FAM223B","FAM223A"
"1552608_at","WFDC11","WFDC11"
"1552609_s_at","IFNL3///IFNL2","IFNL3"
"1552610_a_at","JAK1","JAK1"
"1552611_a_at","JAK1","JAK1"
"1552612_at","CDC42SE2","CDC42SE2"
"1552613_s_at","CDC42SE2","CDC42SE2"
"1552615_at","ACACB","ACACB"
"1552616_a_at","ACACB","ACACB"
"1552617_a_at","RFWD2","RFWD2"
"1552618_at","STX6","STX6"
"1552619_a_at","ANLN","ANLN"
"1552620_at","SPRR4","SPRR4"
"1552621_at","UPK3BL///POLR2J3///POLR2J2///POLR2J","UPK3BL"
"1552622_s_at","UPK3BL///POLR2J3///LOC441259///POLR2J2///POLR2J","UPK3BL"
"1552623_at","HSH2D","HSH2D"
"1552625_a_at","TRNT1","TRNT1"
"1552626_a_at","TMEM163","TMEM163"
"1552627_a_at","ARHGAP5","ARHGAP5"
"1552628_a_at","HERPUD2","HERPUD2"
"1552629_a_at","JMJD6","JMJD6"
"1552630_a_at","SRCAP","SRCAP"
"1552631_a_at","MAP3K6","MAP3K6"
"1552632_a_at","ARSG","ARSG"
"1552633_at","ZNF101","ZNF101"
"1552634_a_at","ZNF101","ZNF101"
"1552637_at","PTPN11","PTPN11"
"1552639_at","KLHDC7B","KLHDC7B"
"1552641_s_at","ATAD3B///ATAD3A","ATAD3B"
"1552643_at","ZNF626","ZNF626"
"1552644_a_at","PHC3","PHC3"
"1552646_at","IL11RA","IL11RA"
"1552648_a_at","TNFRSF10A","TNFRSF10A"
"1552649_a_at","RAD51L3-RFFL///RFFL","RAD51L3-RFFL"
"1552651_a_at","RAD51L3-RFFL///RFFL","RAD51L3-RFFL"
"1552652_at","HPS4","HPS4"
"1552656_s_at","UHMK1","UHMK1"
"1552657_a_at","TXNDC2","TXNDC2"
"1552658_a_at","NAV3","NAV3"
"1552660_a_at","C5orf22","C5ORF22"
"1552661_at","PCDHGB7","PCDHGB7"
"1552662_a_at","PCDHGB7","PCDHGB7"
"1552663_a_at","ERC1","ERC1"
"1552664_at","FLCN","FLCN"
"1552665_at","JMJD1C-AS1","JMJD1C-AS1"
"1552666_a_at","LRRC7","LRRC7"
"1552667_a_at","SH2D3C","SH2D3C"
"1552669_at","PPP1R3B","PPP1R3B"
"1552670_a_at","PPP1R3B","PPP1R3B"
"1552671_a_at","SLC9A7","SLC9A7"
"1552672_a_at","IGSF3","IGSF3"
"1552673_at","RFX6","RFX6"
"1552674_at","DIRC1","DIRC1"
"1552675_at","DNAJB7","DNAJB7"
"1552676_at","UCN3","UCN3"
"1552677_a_at","DIP2A","DIP2A"
"1552678_a_at","USP28","USP28"
"1552680_a_at","KNL1","KNL1"
"1552682_a_at","KNL1","KNL1"
"1552684_a_at","SENP8","SENP8"
"1552685_a_at","GRHL1","GRHL1"
"1552686_at","CNBD2","CNBD2"
"1552687_a_at","CNBD2","CNBD2"
"1552689_at","CASKIN1","CASKIN1"
"1552690_a_at","CACNA2D4","CACNA2D4"
"1552691_at","ARL11","ARL11"
"1552693_at","ARL11","ARL11"
"1552694_at","SLC2A13","SLC2A13"
"1552695_a_at","SLC2A13","SLC2A13"
"1552696_at","NIPA1","NIPA1"
"1552698_at","TUBA3FP","TUBA3FP"
