"ensembl_id","donor 1_unstim","donor 1_LPS","donor 2_unstim","donor 2_LPS","donor 3_unstim","donor 3_LPS","donor 4_unstim","donor 4_LPS"
"ENSG00000227232",1.25745183826659,0.902657319001194,-0.185414586680147,0.145824876994798,-0.903584156096835,-3.24820868108573,0.226920677309563,-0.422446097710152
"ENSG00000238009",1.50184267529997,1.49405688874544,1.52442281992973,1.93767040547289,0.731402697689786,0.915416595124322,-0.390315667252952,1.11406693625231
"ENSG00000239945",-1.9969115162927,-1.93506126306197,-2.37749130795521,-5.18590371586291,-5.18590370943253,-1.60956536360257,-1.06093599057775,-5.18590371586289
"ENSG00000233750",0.627217478287786,-3.1685739506698,0.0296607836491423,-1.88450516352239,-0.242990993479535,-0.322479886378934,-0.332906586921347,-3.63462825231637
"ENSG00000268903",1.80436994166947,-0.67860748445158,1.10734974080584,-0.382821548989205,1.80956265604378,-0.473437365849628,0.0473271315654181,-1.94782991117386
"ENSG00000269981",-0.611689881602974,-3.33010482344452,-1.5620045773756,-3.65898487843129,-0.116501932461011,-0.991812223981284,-1.01835017912978,-3.86961157165864
"ENSG00000239906",2.36527094905411,0.762410636683172,1.72131535151662,0.680592031521358,1.62147817604234,1.75608328927975,-0.0114386717983008,-0.502363340712309
"ENSG00000241860",2.3476937686891,0.680787809085793,1.75808718170368,0.380775379735187,1.56331535511494,1.06032419736212,0.413836096753539,-0.355577996190429
"ENSG00000241599",-0.82162430549456,-3.45996705026271,-1.99378564588496,-4.05191110045517,-1.60665391377225,-3.54127182934632,-3.62482290441406,-3.05899602790852
"ENSG00000279457",2.99699166519549,3.78986322524488,3.09917756951743,3.62282267922715,3.23960364875571,3.54846308295715,3.20229369699385,3.77258420495683
"ENSG00000228463",1.58943565712101,1.15258614574379,1.24525585321228,0.738496274206401,1.38644064162819,1.58836565296114,0.715146791573222,0.022157594783159
"ENSG00000237094",1.82986302651895,0.0284485288512546,0.846806071789932,0.569677492050177,1.20712072084099,1.04654477280677,0.203823077927959,-0.716542968627897
"ENSG00000250575",0.930933412081768,-1.79430318708045,0.83623400422741,-0.070522674597015,1.53385107283355,1.09767384370596,-1.07661871666422,0.472040527772649
"ENSG00000225630",3.46426839313633,2.47904462576075,3.71550396552584,2.22891405241361,3.62535264645711,2.30307055245433,4.17049547318631,2.60219321024804
"ENSG00000237973",-0.390475038901769,-0.596171233101019,-0.518093673150513,-0.619185950728268,0.187058287873111,0.14836393797771,-0.635396754839269,-0.502363340712309
"ENSG00000248527",6.8897087820627,6.08131296863273,6.71132314885348,5.77271906514096,7.12579870193142,6.51461919711923,6.91704364260576,5.89823201300239
"ENSG00000229376",-1.2372207304627,-1.84294220164694,-5.1859037158629,-3.42491412607309,-1.8282629232008,-0.788776847098134,-5.1859037158629,-2.41798289881216
"ENSG00000228327",3.63327890688819,3.80189003654804,3.17195008272376,3.29508217082982,3.87358374591548,3.82174784249395,3.1821764855367,3.20204313967629
"ENSG00000237491",0.705898217124783,1.2084485961415,0.436358029743908,0.142169728535523,-0.667756876824988,-0.209934274803289,-0.97904901694089,-1.38408338646147
"ENSG00000177757",0.410464084538512,0.0752461695387115,-0.763570889840794,0.55623227862749,-1.09416902646646,-0.400937350852936,-1.68972783075661,-1.50787035288735
"ENSG00000228794",2.89672165713404,1.46703569802389,2.54373083050164,1.45231112673189,2.81050666402729,1.67326229259117,2.94405812875569,2.10909856107706
"ENSG00000225880",0.142043186267009,0.948285336856705,0.187267067110185,0.307940030032683,0.563445683262601,1.08684177439905,-0.179466111754169,-0.217341778725671
"ENSG00000223764",-1.91377348861552,-3.0282383002245,-1.07495290256592,-5.18590371586291,-2.80392003391639,-5.1859037158629,-3.62482290441406,-2.46059783382405
"ENSG00000187634",-1.53620558606338,-3.45996705026271,0.431363883855623,-1.58502891008703,-1.35361024679098,-4.00764440152435,-3.21279860556184,-5.18590371586291
"ENSG00000188976",5.49400097664259,4.85654688972897,5.51650696692447,4.46626009790724,5.79775644737223,4.61652014300441,5.98515357622193,4.94220498063281
"ENSG00000187961",1.52736044642819,1.71929474803559,1.52530005494251,1.42536995573834,1.35066439154379,1.44093416771744,0.948554658865297,1.4710427830759
"ENSG00000187583",-0.929740601575423,3.77180451940251,0.0863162392524136,3.08658788810485,-1.329904568798,1.13037211374722,-1.63388145170335,1.82506072669337
"ENSG00000187642",-2.48294366067577,1.32204916514269,-1.57806008440462,1.23734395456752,-3.36725035987011,-1.19615026419874,-2.89268145636998,-1.02893978615194
"ENSG00000272512",-5.1859037158629,1.08392038189734,-5.1859037158629,-0.183157605665896,-5.1859037158629,-5.1859037158629,-5.1859037158629,-4.10007058125683
"ENSG00000188290",-1.91377348861552,5.33683770556972,-1.70377858727407,4.28217931945712,0.720395613068125,0.258154155974452,-0.898127972693895,0.298925140212475
